Date,Japan,China,South Korea,India,Taiwan,France,Spain,United Kingdom,Turkey,Italy,Netherlands,Thailand,Pakistan,Belgium,Kuwait,Singapore Republic,Indonesia,Bangladesh,Portugal,Poland,Chile,Egypt,Brazil,Mexico,Malaysia,Argentina,Greece,Germany,Lithuania,United Arab Emirates,Dominican Republic,Puerto Rico,Jordan,United States,Jamaica,Croatia,Colombia,Finland,Canada,Philippines,Panama,Malta,Sweden,Israel,Hong Kong,Norway,United States Virgin Islands,El Salvador,Russian Federation,Vietnam,Myanmar,Bahrain,Gibraltar,Australia,Senegal,Cuba,Denmark,Papua New Guinea,Unknown,Mauritania,Iceland,Estonia,Bahamas,Period End Date
2016-01-18,210332.00,203297.00,122479.00,0,0,0,73015.00,0,124933.00,0,0,0,0,0,0,0,122144.00,0,0,0,0,0,151366.00,0,0,83429.00,0,0,0,0,0,0,0,0,0,0,0,0,164106.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-18
2016-01-19,0,9806.00,0,131526.00,124149.00,0,139883.00,257517.00,0,139023.00,0,0,140741.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-19
2016-01-20,422979.00,359465.00,0,0,130383.00,0,0,0,145612.00,0,0,203483.00,0,0,0,0,0,0,0,0,0,165428.00,0,132819.00,140649.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-20
2016-01-21,714939.00,152972.00,664372.00,149643.00,0,0,195214.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134409.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7328.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-21
2016-01-22,1299870.00,306787.00,402029.00,0,227882.00,203400.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13405.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-22
2016-01-23,843027.00,253281.00,551821.00,345100.00,0,212995.00,139402.00,0,0,138560.00,0,0,0,0,0,143677.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129075.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-23
2016-01-24,877787.00,0,416450.00,0,0,0,0,0,124333.00,0,0,0,0,0,0,0,0,0,168397.00,0,0,0,0,0,0,99553.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-24
2016-01-25,176555.00,0,0,88537.00,154830.00,0,73235.00,0,134179.00,0,0,0,0,0,0,0,0,0,0,0,0,154704.00,0,126970.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-25
2016-01-26,291984.00,0,410367.00,0,138814.00,0,141227.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130911.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-26
2016-01-27,464007.00,278025.00,280571.00,153011.00,152224.00,0,0,257484.00,203426.00,0,0,0,0,0,0,0,0,0,0,0,0,0,142927.00,0,0,0,0,0,0,209714.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-27
