hora,posicio,trend,volum
00:01,1,ElvishArmy,488.000
00:01,2,GMMTVMUSICONDAY1,447.000
00:01,3,Esenyurt,400.000
00:01,4,aespa_SYNK_HYPERLINEinBKK,388.000
00:01,5,Madrid,322.000
00:01,6,EN_WORLDTOUR_FATE,279.000
00:01,7,محمد,273.000
00:01,8,EnigmaSeriesEp3,247.000
00:01,9,EnigmaSeriesEP3,244.000
00:01,10,Suchwita,242.000
00:31,1,ElvishArmy,493.000
00:31,2,GMMTVMUSICONDAY1,448.000
00:31,3,Esenyurt,400.000
00:31,4,aespa_SYNK_HYPERLINEinBKK,389.000
00:31,5,حسين,347.000
00:31,6,Madrid,329.000
00:31,7,EN_WORLDTOUR_FATE,280.000
00:31,8,محمد,273.000
00:31,9,Suchwita,250.000
00:31,10,EnigmaSeriesEP3,248.000
01:01,1,Presidente,707.000
01:01,2,ElvishArmy,496.000
01:01,3,GMMTVMUSICONDAY1,449.000
01:01,4,aespa_SYNK_HYPERLINEinBKK,390.000
01:01,5,حسين,349.000
01:01,6,Madrid,344.000
01:01,7,EN_WORLDTOUR_FATE,281.000
01:01,8,Wizkid,265.000
01:01,9,Suchwita,253.000
01:01,10,EnigmaSeriesEP3,249.000
01:31,1,Presidente,707.000
01:31,2,ElvishArmy,498.000
01:31,3,GMMTVMUSICONDAY1,451.000
01:31,4,aespa_SYNK_HYPERLINEinBKK,391.000
01:31,5,Madrid,387.000
01:31,6,حسين,349.000
01:31,7,EN_WORLDTOUR_FATE,283.000
01:31,8,Wizkid,277.000
01:31,9,Suchwita,256.000
01:31,10,EnigmaSeriesEP3,251.000
02:01,1,Presidente,709.000
02:01,2,ElvishArmy,501.000
02:01,3,GMMTVMUSICONDAY1,454.000
02:01,4,Madrid,410.000
02:01,5,aespa_SYNK_HYPERLINEinBKK,393.000
02:01,6,حسين,349.000
02:01,7,Wizkid,288.000
02:01,8,EN_WORLDTOUR_FATE,283.000
02:01,9,Suchwita,256.000
02:01,10,EnigmaSeriesEp3,253.000
02:31,1,Presidente,709.000
02:31,2,ElvishArmy,501.000
02:31,3,GMMTVMUSICONDAY1,457.000
02:31,4,Madrid,416.000
02:31,5,aespa_SYNK_HYPERLINEinBKK,394.000
02:31,6,حسين,349.000
02:31,7,Wizkid,296.000
02:31,8,EN_WORLDTOUR_FATE,286.000
02:31,9,Angel,275.000
02:31,10,Suchwita,261.000
03:01,1,Presidente,712.000
03:01,2,ElvishArmy,501.000
03:01,3,GMMTVMUSICONDAY1,461.000
03:01,4,Madrid,425.000
