Date,Title,Description,URL,Author
2022-10-28,Bulgargaz opens tender for LNG deliveries into Greece or Turkey in 2023,Bulgaria’s Bulgargaz opened a tender for the supply of 16 TWh or around 1.05 mt of LNG in 2023 into Greece’s Revithoussa terminal or one of Turkey’s terminals. The cut-off of Russian piped supplies to Bulgaria earlier this year forced Bulgaria to increase its reliance on global LNG supplies,https://terminal.kpler.com/insight/news/bulgargaz-opens-tender-for-lng-deliveries-into-greece-or-turkey-in-2023-1,DE
2022-10-28,Eni’s third-quarter gas production up 3% quarter on quarter,"Italy’s Eni increased its gas production by 3% quarter on quarter to around 11.8 bn m3 in the third quarter ending Sep. 30, mostly due to its Sub-Saharan assets. But this did not lead to an increase in LNG exports from its only LNG liquefaction plant in the region. Eni forecasts a 3.5% increase in production in 2023.",https://terminal.kpler.com/insight/news/eni-s-third-quarter-gas-production-3-up-from-the-second-quarter-1,DE
2022-10-28,Sakhalin Energy poised to offer 4-5 December LNG cargoes; more excess supplies to sell,Sakhalin Energy LLC is preparing to issue a tender in the coming week to sell between four and five LNG cargoes that will load in December at its 10.8 mtpa Sakhalin LNG plant at Russia’s Prigorodnoye port as it considers how to sell at least 2 mtpa of supply in excess of term commitments.,https://terminal.kpler.com/insight/news/sakhalin-energy-poised-to-offer-4-5-december-lng-cargoes-more-excess-supplies-to-sell,CK
