hora,posicio,trend,volum
00:01,1,Yönetimİstifa,23.000
00:01,2,ولي_العهد,21.000
00:01,3,Georgia,320.000
00:01,4,سي65ياره_هديه_رسيس,
00:01,5,كاريزما60,38.000
00:01,6,Minecraft,260.000
00:01,7,BallonDor,196.000
00:01,8,Apalachee High School,179.000
00:01,9,Colt Gray,
00:01,10,Balón de Oro,50.000
00:31,1,Yönetimİstifa,23.000
00:31,2,ولي_العهد,21.000
00:31,3,Georgia,320.000
00:31,4,سي65ياره_هديه_رسيس,
00:31,5,كاريزما60,38.000
00:31,6,Minecraft,260.000
00:31,7,BallonDor,196.000
00:31,8,Apalachee High School,179.000
00:31,9,Colt Gray,
00:31,10,Balón de Oro,50.000
01:01,1,Yönetimİstifa,35.000
01:01,2,バブーシュカ,
01:01,3,ولي_العهد,26.000
01:01,4,Georgia,347.000
01:01,5,سي65ياره_هديه_رسيس,11.000
01:01,6,كاريزما60,43.000
01:01,7,Minecraft,277.000
01:01,8,Tim Pool,49.000
01:01,9,めざましディズニー,
01:01,10,Colt Gray,13.000
01:31,1,Yönetimİstifa,35.000
01:31,2,バブーシュカ,
01:31,3,ولي_العهد,26.000
01:31,4,Georgia,347.000
01:31,5,سي65ياره_هديه_رسيس,11.000
01:31,6,كاريزما60,43.000
01:31,7,Minecraft,277.000
01:31,8,Tim Pool,49.000
01:31,9,めざましディズニー,
01:31,10,Colt Gray,13.000
02:01,1,Yönetimİstifa,39.000
02:01,2,Liz Cheney,83.000
02:01,3,Russian,503.000
02:01,4,バブーシュカ,
02:01,5,めざましディズニー,
02:01,6,Tim Pool,73.000
02:01,7,Georgia,367.000
02:01,8,ولي_العهد,28.000
02:01,9,Minecraft,296.000
02:01,10,سي65ياره_هديه_رسيس,13.000
02:31,1,Yönetimİstifa,39.000
02:31,2,Liz Cheney,83.000
02:31,3,Russian,503.000
02:31,4,バブーシュカ,
02:31,5,めざましディズニー,
02:31,6,Tim Pool,73.000
02:31,7,Georgia,367.000
02:31,8,ولي_العهد,28.000
02:31,9,Minecraft,296.000
02:31,10,سي65ياره_هديه_رسيس,13.000
03:01,1,Liz Cheney,115.000
03:01,2,Russian,539.000
03:01,3,AEWDynamite,
03:01,4,Yönetimİstifa,39.000
03:01,5,Tim Pool,94.000
03:01,6,バブーシュカ,
03:01,7,Georgia,383.000
03:01,8,NFC Champ,
03:01,9,めざましディズニー,
03:01,10,Super Bowl Champ,
03:31,1,Liz Cheney,115.000
03:31,2,Russian,539.000
03:31,3,AEWDynamite,
03:31,4,Yönetimİstifa,39.000
03:31,5,Tim Pool,94.000
03:31,6,バブーシュカ,
03:31,7,Georgia,383.000
03:31,8,NFC Champ,
03:31,9,めざましディズニー,
03:31,10,Super Bowl Champ,
04:01,1,Liz Cheney,115.000
04:01,2,Russian,539.000
04:01,3,AEWDynamite,
04:01,4,Yönetimİstifa,39.000
04:01,5,Tim Pool,94.000
04:01,6,バブーシュカ,
04:01,7,Georgia,383.000
04:01,8,NFC Champ,
04:01,9,めざましディズニー,
04:01,10,Super Bowl Champ,
04:31,1,Russian,575.000
04:31,2,AEWDynamite,20.000
04:31,3,Liz Cheney,144.000
04:31,4,Pegasus,32.000
04:31,5,Tim Pool,117.000
04:31,6,TheChallenge40,
04:31,7,TeachersDay,
04:31,8,Georgia,415.000
04:31,9,Pegula,
04:31,10,NFC Champ,
05:01,1,AEWDynamite,32.000
05:01,2,DesafioXX,
05:01,3,Russian,609.000
05:01,4,teachersday2024,15.000
05:01,5,Liz Cheney,166.000
05:01,6,Pegasus,48.000
05:01,7,Bobby Miller,
05:01,8,Tim Pool,137.000
05:01,9,Desafio20Años,
