hora,posicio,trend,volum
00:01,1,بالعالم_هلا,16.000
00:01,2,WhatsApp,449.000
00:01,3,Ferran,44.000
00:01,4,هييه_استضافه_كاس_العالم,16.000
00:01,5,Botafogo,182.000
00:01,6,$DUCK,
00:01,7,Pachuca,99.000
00:01,8,كاس_العالم_2034,552.000
00:01,9,توريس,
00:01,10,Dortmund,71.000
00:31,1,بالعالم_هلا,16.000
00:31,2,WhatsApp,449.000
00:31,3,Ferran,44.000
00:31,4,هييه_استضافه_كاس_العالم,16.000
00:31,5,Botafogo,182.000
00:31,6,$DUCK,
00:31,7,Pachuca,99.000
00:31,8,كاس_العالم_2034,552.000
00:31,9,توريس,
00:31,10,Dortmund,71.000
01:01,1,بالعالم_هلا,16.000
01:01,2,WhatsApp,449.000
01:01,3,Ferran,44.000
01:01,4,هييه_استضافه_كاس_العالم,16.000
01:01,5,Botafogo,182.000
01:01,6,$DUCK,
01:01,7,Pachuca,99.000
01:01,8,كاس_العالم_2034,552.000
01:01,9,توريس,
01:01,10,Dortmund,71.000
01:31,1,بالعالم_هلا,16.000
01:31,2,WhatsApp,449.000
01:31,3,Ferran,44.000
01:31,4,هييه_استضافه_كاس_العالم,16.000
01:31,5,Botafogo,182.000
01:31,6,$DUCK,
01:31,7,Pachuca,99.000
01:31,8,كاس_العالم_2034,552.000
01:31,9,توريس,
01:31,10,Dortmund,71.000
02:01,1,$PLUR,
02:01,2,MaskSingerFinal,
02:01,3,Ferran,55.000
02:01,4,WhatsApp,461.000
02:01,5,بالعالم_هلا,16.000
02:01,6,ypotheseis,
02:01,7,$DUCK,
02:01,8,Bill Belichick,31.000
02:01,9,كاميليا_في_وتر_حساس,
02:01,10,هييه_استضافه_كاس_العالم,19.000
02:31,1,$PLUR,
02:31,2,광란의 칼춤,
02:31,3,MaskSingerFinal,
02:31,4,Bill Belichick,37.000
02:31,5,대국민 담화,13.000
02:31,6,AEWDynamite,
02:31,7,Ferran,56.000
02:31,8,緊急メンテ,
02:31,9,Shams,
02:31,10,ypotheseis,
03:01,1,$PLUR,
03:01,2,광란의 칼춤,
03:01,3,MaskSingerFinal,
03:01,4,Bill Belichick,37.000
03:01,5,대국민 담화,13.000
03:01,6,AEWDynamite,
03:01,7,Ferran,56.000
03:01,8,緊急メンテ,
03:01,9,Shams,
03:01,10,ypotheseis,
03:31,1,Velez,26.000
03:31,2,Central Córdoba,
03:31,3,Survivor47,
03:31,4,Knicks,15.000
03:31,5,AEWDynamite,12.000
03:31,6,ใจซ่อนรักเดอะโมเมนต์,54.000
03:31,7,LINGORM TSOU THE MOMENT,58.000
03:31,8,Copa Argentina,
03:31,9,ProvaDoFazendeiro,
03:31,10,Hawks,21.000
04:01,1,Velez,26.000
04:01,2,Central Córdoba,
04:01,3,Survivor47,
04:01,4,Knicks,15.000
04:01,5,AEWDynamite,12.000
04:01,6,ใจซ่อนรักเดอะโมเมนต์,54.000
04:01,7,LINGORM TSOU THE MOMENT,58.000
04:01,8,Copa Argentina,
04:01,9,ProvaDoFazendeiro,
04:01,10,Hawks,21.000
04:31,1,Knicks,26.000
04:31,2,Vélez,41.000
04:31,3,Trae Young,15.000
04:31,4,Central Córdoba,16.000
04:31,5,Hawks,27.000
04:31,6,Survivor47,
04:31,7,AEWDynamite,18.000
04:31,8,ProvaDoFazendeiro,11.000
04:31,9,ใจซ่อนรักเดอะโมเมนต์,101.000
04:31,10,LINGORM TSOU THE MOMENT,104.000
05:01,1,Knicks,26.000
05:01,2,Vélez,41.000
05:01,3,Trae Young,15.000
05:01,4,Central Córdoba,16.000
05:01,5,Hawks,27.000
05:01,6,Survivor47,
05:01,7,AEWDynamite,18.000
05:01,8,ProvaDoFazendeiro,11.000
05:01,9,ใจซ่อนรักเดอะโมเมนต์,101.000
05:01,10,LINGORM TSOU THE MOMENT,104.000
05:31,1,Knicks,26.000
05:31,2,Vélez,41.000
05:31,3,Trae Young,15.000
05:31,4,Central Córdoba,16.000
05:31,5,Hawks,27.000
05:31,6,Survivor47,
05:31,7,AEWDynamite,18.000
05:31,8,ProvaDoFazendeiro,11.000
05:31,9,ใจซ่อนรักเดอะโมเมนต์,101.000
05:31,10,LINGORM TSOU THE MOMENT,104.000
06:01,1,ใจซ่อนรักเดอะโมเมนต์,181.000
06:01,2,Vélez,46.000
06:01,3,Knicks,30.000
06:01,4,LINGORM TSOU THE MOMENT,177.000
06:01,5,Trae Young,18.000
06:01,6,Central Córdoba,19.000
06:01,7,AEWDynamite,22.000
06:01,8,Survivor47,10.000
06:01,9,Hawks,29.000
06:01,10,亀甲さん,
06:31,1,ใจซ่อนรักเดอะโมเมนต์,181.000
06:31,2,Vélez,46.000
06:31,3,Knicks,30.000
06:31,4,LINGORM TSOU THE MOMENT,177.000
06:31,5,Trae Young,18.000
06:31,6,Central Córdoba,19.000
06:31,7,AEWDynamite,22.000
06:31,8,Survivor47,10.000
06:31,9,Hawks,29.000
06:31,10,亀甲さん,
07:01,1,オリックス,12.000
07:01,2,ใจซ่อนรักเดอะโมเมนต์,263.000
07:01,3,Draymond,
07:01,4,LINGORM TSOU THE MOMENT,246.000
07:01,5,無罪判決,
07:01,6,紀州のドン・ファン,
07:01,7,Knicks,32.000
07:01,8,ドンファン,
07:01,9,Vélez,47.000
07:01,10,Selena,68.000
07:31,1,オリックス,12.000
07:31,2,ใจซ่อนรักเดอะโมเมนต์,263.000
07:31,3,Draymond,
07:31,4,LINGORM TSOU THE MOMENT,246.000
07:31,5,無罪判決,
07:31,6,紀州のドン・ファン,
07:31,7,Knicks,32.000
07:31,8,ドンファン,
07:31,9,Vélez,47.000
07:31,10,Selena,68.000
08:01,1,オリックス,23.000
08:01,2,今年の漢字,16.000
08:01,3,メジャー,17.000
08:01,4,無罪判決,12.000
08:01,5,Warriors,69.000
