hora,posicio,trend,volum
00:01,1,Arsenal,460.000
00:01,2,ARSPSG,79.000
00:01,3,الهلال_الاهلي,257.000
00:01,4,المنشق_مطرود_من_النخبه,
00:01,5,الف_تيته_وتيته,14.000
00:01,6,اعلانك_ترند__𓅄О5ち92О9ち93,
00:01,7,Odegaard,29.000
00:01,8,Partey,32.000
00:01,9,Martinelli,36.000
00:01,10,Dembele,73.000
00:31,1,Arsenal,460.000
00:31,2,ARSPSG,79.000
00:31,3,الهلال_الاهلي,257.000
00:31,4,المنشق_مطرود_من_النخبه,
00:31,5,الف_تيته_وتيته,14.000
00:31,6,اعلانك_ترند__𓅄О5ち92О9ち93,
00:31,7,Odegaard,29.000
00:31,8,Partey,32.000
00:31,9,Martinelli,36.000
00:31,10,Dembele,73.000
01:01,1,Arsenal,507.000
01:01,2,ARSPSG,85.000
01:01,3,الهلال,763.000
01:01,4,Partey,43.000
01:01,5,عتق_رقبه_حمود__ال_عاطف,
01:01,6,Odegaard,42.000
01:01,7,المنشق_مطرود_من_النخبه,
01:01,8,Martinelli,41.000
01:01,9,الاستغفار_كنز_نحن_نغفل_عنه,
01:01,10,حمل_تطبيق_نفزعلك,
01:31,1,Arsenal,507.000
01:31,2,ARSPSG,85.000
01:31,3,الهلال,763.000
01:31,4,Partey,43.000
01:31,5,عتق_رقبه_حمود__ال_عاطف,
01:31,6,Odegaard,42.000
01:31,7,المنشق_مطرود_من_النخبه,
01:31,8,Martinelli,41.000
01:31,9,الاستغفار_كنز_نحن_نغفل_عنه,
01:31,10,حمل_تطبيق_نفزعلك,
02:01,1,Arsenal,524.000
02:01,2,ARSPSG,88.000
02:01,3,Partey,47.000
02:01,4,الهلال,777.000
02:01,5,Odegaard,46.000
02:01,6,حمل_تطبيق_نفزعلك,
02:01,7,Martinelli,42.000
02:01,8,المنشق_مطرود_من_النخبه,
02:01,9,الاستغفار_كنز_نحن_نغفل_عنه,
02:01,10,اعلانك_ترند__𓅄О5ち92О9ち93,
02:31,1,Arsenal,535.000
02:31,2,حمل_تطبيق_نفزعلك,
02:31,3,Partey,48.000
02:31,4,حق_ياسين_لازم_يرجع,15.000
02:31,5,ARSPSG,90.000
02:31,6,اعلانك_ترند__𓅄О5ち92О9ち93,
02:31,7,Odegaard,48.000
02:31,8,الهلال,796.000
02:31,9,الاستغفار_كنز_نحن_نغفل_عنه,
02:31,10,Martinelli,43.000
03:01,1,Arsenal,535.000
03:01,2,حمل_تطبيق_نفزعلك,
03:01,3,Partey,48.000
03:01,4,حق_ياسين_لازم_يرجع,15.000
03:01,5,ARSPSG,90.000
03:01,6,اعلانك_ترند__𓅄О5ち92О9ち93,
03:01,7,Odegaard,48.000
03:01,8,الهلال,796.000
03:01,9,الاستغفار_كنز_نحن_نغفل_عنه,
03:01,10,Martinelli,43.000
03:31,1,Arsenal,535.000
03:31,2,حمل_تطبيق_نفزعلك,
03:31,3,Partey,48.000
03:31,4,حق_ياسين_لازم_يرجع,15.000
03:31,5,ARSPSG,90.000
03:31,6,اعلانك_ترند__𓅄О5ち92О9ち93,
03:31,7,Odegaard,48.000
03:31,8,الهلال,796.000
03:31,9,الاستغفار_كنز_نحن_نغفل_عنه,
03:31,10,Martinelli,43.000
04:01,1,Giannis,51.000
04:01,2,Bucks,65.000
