hora,posicio,trend,volum
00:10,1,PlatinumPartyatthePalace,100.241
00:10,2,Diana Ross,
00:10,3,FortniteCollision,27.035
00:10,4,Rod Stewart,
00:10,5,PlatinumJubileeconcert,
00:10,6,KinnPorscheEP9,1.444.012
00:10,7,Paddington,38.858
00:10,8,ItaliaGermania,10.189
00:10,9,Sweet Caroline,
00:10,10,Slone,
00:40,1,PlatinumPartyatthePalace,107.365
00:40,2,Diana Ross,
00:40,3,FortniteCollision,28.479
00:40,4,UFCVegas56,25.688
00:40,5,Paddington,42.811
00:40,6,Rod Stewart,
00:40,7,سكربت20,44.873
00:40,8,KinnPorscheEP9,1.432.676
00:40,9,Slone,
00:40,10,Sweet Caroline,
01:10,1,PlatinumPartyatthePalace,112.410
01:10,2,Diana Ross,
01:10,3,FortniteCollision,29.836
01:10,4,Reinaldo,
01:10,5,UFCVegas56,26.461
01:10,6,Paddington,45.837
01:10,7,Rod Stewart,
01:10,8,سكربت20,47.612
01:10,9,KinnPorscheEP9,1.454.947
01:10,10,Kulfas,33.286
01:40,1,PlatinumPartyatthePalace,116.048
01:40,2,Calleri,
01:40,3,precure,19.793
01:40,4,Reinaldo,
01:40,5,Diana Ross,
01:40,6,FortniteCollision,30.862
01:40,7,insiders,
01:40,8,Paddington,48.165
01:40,9,UFCVegas56,26.870
01:40,10,Marcos Leonardo,
02:10,1,PlatinumPartyatthePalace,118.953
02:10,2,Calleri,
02:10,3,precure,57.803
02:10,4,Reinaldo,
02:10,5,プリキュア,32.929
02:10,6,insiders,13.056
02:10,7,デパプリ,21.557
02:10,8,Diana Ross,
02:10,9,FortniteCollision,31.729
02:10,10,拓海くん,
02:40,1,仮面ライダーリバイス,35.205
02:40,2,Calleri,11.046
02:40,3,PlatinumPartyatthePalace,121.653
02:40,4,precure,65.535
02:40,5,NXTIYH,
02:40,6,nitiasa,33.184
02:40,7,プリキュア,38.031
02:40,8,Reinaldo,
02:40,9,ガタキリバ,
02:40,10,ヒロミさん,
03:10,1,Calleri,11.463
03:10,2,仮面ライダーリバイス,39.450
03:10,3,ドンブラザーズ,37.986
03:10,4,PlatinumPartyatthePalace,123.936
03:10,5,precure,69.394
03:10,6,NXTIYH,13.392
03:10,7,プリキュア,40.268
03:10,8,Evander Kane,
03:10,9,Scioli,
03:10,10,Reinaldo,
03:40,1,仮面ライダーリバイス,42.901
03:40,2,Calleri,11.974
03:40,3,ドンブラザーズ,45.899
03:40,4,NXTIYH,18.279
03:40,5,VoleiNoSporTV,
03:40,6,PlatinumPartyatthePalace,126.124
03:40,7,Zé Lucas,
03:40,8,Kadri,
03:40,9,プリキュア,42.612
03:40,10,お嬢様実力テスト,
04:10,1,VoleiNoSporTV,13.028
04:10,2,AltasHoras,
04:10,3,NXTIYH,22.705
04:10,4,仮面ライダーリバイス,45.105
04:10,5,Calleri,12.134
04:10,6,ドンブラザーズ,49.137
04:10,7,BELLE DAY ASAP TREAT,35.775
04:10,8,お嬢様実力テスト,
04:10,9,Kadri,
04:10,10,Zé Lucas,
04:40,1,AltasHoras,
04:40,2,DONNYBackOnASAP,156.147
04:40,3,DONBELLEAsapComeback,154.281
04:40,4,VoleiNoSporTV,16.270
04:40,5,BELLE DAY ASAP TREAT,119.939
04:40,6,NXTIYH,26.739
04:40,7,Mike Smith,
04:40,8,Murillo,
04:40,9,お嬢様実力テスト,
04:40,10,Calleri,12.315
05:10,1,AltasHoras,
05:10,2,DONNYBackOnASAP,209.172
05:10,3,DONBELLEAsapComeback,208.007
05:10,4,GoAvsGo,11.828
05:10,5,WorldEnvironmentDay,83.158
05:10,6,Mike Smith,
05:10,7,BELLE DAY ASAP TREAT,127.082
05:10,8,お嬢様実力テスト,
05:10,9,BELLE BIRTHDAY BASH,142.386
05:10,10,Murillo,
05:40,1,WorldEnvironmentDay,113.440
05:40,2,Haney,78.944
05:40,3,AltasHoras,
05:40,4,DONBELLEAsapComeback,281.042
05:40,5,DONNYBackOnASAP,281.249
