Date,Title,Description,URL,Author
2024-09-27,Seapeak Magellan to deliver Alexandroupolis’ first commercial LNG cargo,"The 165,500 m3 Seapeak Magellan LNG tanker is poised to deliver the first commercial cargo to Greece’s 4 mtpa Alexandroupolis floating LNG receiving terminal.",https://terminal.kpler.com/insight/news/seapeak-magellan-to-deliver-alexandroupolis-first-commercial-lng-cargo,JS
2024-09-27,Russian dark fleet vessel moors at Saam FSU,"The sanctioned 150,000 m3 Nova Energy LNG tanker, which recently changed its name from New Energy, has moored at the Murmansk transshipment terminal about three weeks after another dark fleet vessel discharged cargo from the 19.8 mtpa Arctic LNG 2 plant.",https://terminal.kpler.com/insight/news/russian-dark-fleet-vessel-moors-at-saam-fsu,JS
2024-09-27,Mitsubishi boosts stake in Malaysia’s Bintulu LNG plant,Japanese trading house Mitsubishi Corp to expand its ownership in the Petronas-operated 29.3 mtpa Bintulu LNG plant in Malaysia by acquiring 10% stakes in the Dua and Tiga units of the plant.,https://terminal.kpler.com/insight/news/mitsubishi-boosts-stake-in-malaysia-s-bintulu-lng-plant,JS
2024-09-27,Chhara LNG terminal commissioning date could slip as it awaits fender equipment arrival,"State-owned Hindustan Petroleum Corp.’s plan to commission its 5 mtpa Chhara LNG terminal in November-December could slip to early next year if its order for equipment to replace fenders damaged earlier this year doesn’t arrive on time, according to sources close to the firm.",https://terminal.kpler.com/insight/news/chhara-lng-terminal-commissioning-date-could-slip-as-it-awaits-fender-equipment-arrival,CK
2024-09-27,Northern Sea Route transit for non-ice class ships to close on Oct. 15 due to early ice onset,The early onset of ice formation has prompted the Northern Sea Route General Administration to close the summer-autumn eastbound passage through the Northern Sea Route earlier than expected for non-ice-class ships on Oct. 15 and ice-class ships between Oct. 20 and 31.,https://terminal.kpler.com/insight/news/northern-sea-route-transit-for-non-ice-class-ships-to-close-on-oct-15-due-to-early-ice-onset,CK
