date,open,high,low,ttf,volume,eur/usd,jkm,tfu,ttf-ret,jkm-ttf,jkm-ret,tfu-ret,jkm-ttf-ret,ttf-tfu-ret,month,quarter,year
2016-01-04,4.6811571420249996,4.703372803038,4.5780130016075,4.6351389870695,3970.0,1.0829,6.86,,,2.2248610129305,,,,,1,1,2016
2016-01-05,4.75550485866,4.75550485866,4.6531512772650006,4.655985684134401,2865.0,1.0746,6.825,,0.0044975344046975785,2.1690143158655992,-0.005102040816326592,,-0.00959957522102417,,1,1,2016
2016-01-06,4.793356443665001,4.856530828425001,4.757031172428001,4.7778787193988,6505.0,1.0778,6.805,,0.026179856110760458,2.0271212806011993,-0.002930402930403031,,-0.02911025904116349,,1,1,2016
2016-01-07,4.806657470999999,4.990912674055,4.77461308786,4.9758518139792,4945.0,1.0934,6.775,,0.04143535368041129,1.7991481860208003,-0.004408523144746379,,-0.04584387682515767,,1,1,2016
2016-01-08,4.820474303295001,4.8284817356925,4.6683330877425,4.7295098712594,5248.0,1.0929,6.775,,-0.049507491768087775,2.0454901287406004,0.0,,0.049507491768087775,,1,1,2016
2016-01-11,4.702081678747501,4.749818548582501,4.627293916006001,4.6597549874938,4345.0,1.0859,6.775,,-0.014748861016125825,2.1152450125062003,0.0,,0.014748861016125825,,1,1,2016
2016-01-12,4.5011045771100004,4.51700954028,4.445437206015,4.4686584522432,3905.0,1.0854,6.755,,-0.041009996397552984,2.2863415477568,-0.002952029520295274,,0.03805796687725771,,1,1,2016
2016-01-13,4.5806814130625,4.588647815520001,4.4850845835725,4.5159942251076,3495.0,1.0873,6.74,,0.010592837508232256,2.2240057748924,-0.0022205773501109416,,-0.012813414858343197,,1,1,2016
2016-01-14,4.433613256520001,4.433613256520001,4.374710674656001,4.3801233443408005,6015.0,1.0864,6.725,,-0.0300865931163945,2.344876655659199,-0.002225519287833877,,0.027861073828560623,,1,1,2016
2016-01-15,4.390046787015001,4.406039671485001,4.25410726902,4.2608242804974,4060.0,1.0914,6.725,,-0.027236462187197774,2.4641757195025997,0.0,,0.027236462187197774,,1,1,2016
2016-01-18,4.2447524427,4.284646732575,4.1889004368750005,4.27347633141,5700.0,1.089,6.725,,0.002969390446470932,2.4515236685899993,0.0,,-0.002969390446470932,,1,1,2016
2016-01-19,4.282558601700001,4.370446931212501,4.226629664737501,4.266578905425001,4020.0,1.0905,5.485,,-0.0016140082336021377,1.2184210945749996,-0.18438661710037163,,-0.1827726088667695,,1,1,2016
2016-01-20,4.1486251547,4.153412029878501,4.068843901725001,4.083842777284301,7115.0,1.0889,5.305,,-0.04282966099803032,1.221157222715699,-0.03281677301732011,,0.010012887980710206,,1,1,2016
2016-01-21,4.01469756912,4.07045725758,3.9509722108800007,4.007369152922401,5030.0,1.0872,5.14,,-0.018725898261135798,1.132630847077599,-0.031102733270499505,,-0.012376835009363707,,1,1,2016
2016-01-22,4.110849182013,4.314889022136001,4.057071239655,4.2573149897292,5423.0,1.0794,5.12,,0.06237155282400786,0.8626850102708001,-0.0038910505836574627,,-0.06626260340766532,,1,1,2016
2016-01-25,4.16441288947,4.16441288947,4.03725524399,4.055375208470901,5660.0,1.0847,5.12,,-0.047433601165401296,1.0646247915290994,0.0,,0.047433601165401296,,1,1,2016
2016-01-26,3.9180280997700003,4.156932252195,3.9180280997700003,4.1066031107508,7574.0,1.0869,5.12,,0.01263209928711273,1.0133968892491998,0.0,,-0.01263209928711273,,1,1,2016
2016-01-27,4.101509595385,4.30897895235,4.101509595385,4.2400352891124005,8715.0,1.0891,5.055,,0.03249210473061881,0.8149647108875993,-0.012695312500000111,,-0.04518741723061892,,1,1,2016
2016-01-28,4.343205249085,4.471417950165,4.3271786614500005,4.3813485276563,8953.0,1.0937,5.055,,0.033328316607827535,0.6736514723436997,0.0,,-0.033328316607827535,,1,1,2016
2016-01-29,4.445183699599999,4.445183699599999,4.199111030515,4.2470555118463995,1965.0,1.0834,5.055,,-0.030651068948796323,0.8079444881536002,0.0,,0.030651068948796323,,1,1,2016
2016-02-01,4.247978861339,4.247978861339,4.08367475968,4.0846318709518,1905.0,1.0886,5.105,,-0.03824382338341181,1.0203681290482,0.009891196834817206,,0.04813502021822902,,2,1,2016
2016-02-02,4.06293705572,4.126920316440001,4.037343751432,4.088530360008,10495.0,1.0916,5.23,,0.0009544284967082373,1.1414696399920006,0.02448579823702257,,0.023531369740314334,,2,1,2016
