hora,posicio,trend,volum
00:01,1,انقذو_سعدون_من_حد__السيف,
00:01,2,رفع_هشتاق__ترند_O56З2б8б79,
00:01,3,اهل_الخير_معسر_مريض_منصه_احسان,
00:01,4,رفع_ترند1__057б8l7989,
00:01,5,IsraeleItalia,10.000
00:01,6,$GAS,
00:01,7,Kosovo,
00:01,8,דניאל פרץ,
00:01,9,Milei,467.000
00:01,10,Otto Addo,
00:31,1,انقذو_سعدون_من_حد__السيف,
00:31,2,رفع_هشتاق__ترند_O56З2б8б79,
00:31,3,اهل_الخير_معسر_مريض_منصه_احسان,
00:31,4,رفع_ترند1__057б8l7989,
00:31,5,IsraeleItalia,10.000
00:31,6,$GAS,
00:31,7,Kosovo,
00:31,8,דניאל פרץ,
00:31,9,Milei,467.000
00:31,10,Otto Addo,
01:01,1,انقذو_سعدون_من_حد__السيف,
01:01,2,اهل_الخير_معسر_مريض_منصه_احسان,
01:01,3,رفع_هشتاق__ترند_O56З2б8б79,
01:01,4,رفع_ترند1__057б8l7989,
01:01,5,σεισμος,
01:01,6,Bears,46.000
01:01,7,$GAS,
01:01,8,Kosovo,10.000
01:01,9,$NBIS,
01:01,10,Vikings,28.000
01:31,1,انقذو_سعدون_من_حد__السيف,
01:31,2,اهل_الخير_معسر_مريض_منصه_احسان,
01:31,3,رفع_هشتاق__ترند_O56З2б8б79,
01:31,4,رفع_ترند1__057б8l7989,
01:31,5,σεισμος,
01:31,6,Bears,46.000
01:31,7,$GAS,
01:31,8,Kosovo,10.000
01:31,9,$NBIS,
01:31,10,Vikings,28.000
02:01,1,秋はやっぱりモスの月見,
02:01,2,原ちゃん,
02:01,3,معسر_مريض_يناشدكم_منصه_احسان,
02:01,4,旨さ相盛おむすび,
02:01,5,重陽の節句,34.000
02:01,6,رفع_هشتاق__ترند_O56З2б8б79,
02:01,7,Bears,51.000
02:01,8,美馬さん,
02:01,9,انقذو_سعدون_من_حد__السيف,
02:01,10,Vikings,34.000
02:31,1,秋はやっぱりモスの月見,
02:31,2,原ちゃん,
02:31,3,معسر_مريض_يناشدكم_منصه_احسان,
