hora,posicio,trend,volum
00:10,1,BenidormFest,172.843
00:10,2,SecretGala2,28.372
00:10,3,Blanca Paloma,13.141
00:10,4,Chanel,64.526
00:10,5,Tanxugueiras,45.575
00:10,6,Discord,1.541.208
00:10,7,Cruzeiro,71.069
00:10,8,Azúcar Moreno,
00:10,9,Varry Brava,
00:10,10,Supreme Court,278.797
00:40,1,BenidormFest,200.514
00:40,2,SecretGala2,35.357
00:40,3,Tanxugueiras,59.147
00:40,4,Chanel,71.145
00:40,5,Blanca Paloma,14.545
00:40,6,Azúcar Moreno,11.132
00:40,7,吉右衛門ちゃん,
00:40,8,Discord,1.569.033
00:40,9,Cruzeiro,73.362
00:40,10,Supreme Court,293.590
01:10,1,BenidormFest,210.505
01:10,2,SecretGala2,44.450
01:10,3,Tanxugueiras,65.058
01:10,4,Spotify,840.723
01:10,5,Chanel,72.747
01:10,6,Blanca Paloma,15.152
01:10,7,SecureTheTribe,15.760
01:10,8,Neil Young,145.227
01:10,9,吉右衛門ちゃん,
01:10,10,Supreme Court,303.975
01:40,1,BenidormFest,215.520
01:40,2,SecretGala2,53.448
01:40,3,Spotify,874.655
01:40,4,numanice2,
01:40,5,SecureTheTribe,20.320
01:40,6,Neil Young,157.437
01:40,7,Tanxugueiras,68.102
01:40,8,Chanel,75.017
01:40,9,Supreme Court,317.121
01:40,10,Blanca Paloma,15.450
02:10,1,BenidormFest,218.610
02:10,2,Spotify,874.022
02:10,3,André,63.569
02:10,4,SecretGala2,63.119
02:10,5,numanice2,
02:10,6,SecureTheTribe,26.022
02:10,7,Jeopardy,
02:10,8,Neil Young,162.008
02:10,9,Flamengo,98.872
02:10,10,Baco,15.851
02:40,1,AEWDynamite,26.577
02:40,2,Paulo Vieira,10.275
02:40,3,BenidormFest,220.287
02:40,4,Spotify,904.609
02:40,5,André,69.427
02:40,6,numanice2,
02:40,7,SecureTheTribe,31.194
02:40,8,Neil Young,174.470
02:40,9,AEWBeachBreak,
02:40,10,Flamengo,105.879
03:10,1,AEWDynamite,34.041
03:10,2,Paulo Vieira,12.943
03:10,3,Spotify,905.690
03:10,4,BenidormFest,221.274
03:10,5,SecureTheTribe,36.582
03:10,6,Lázaro,14.183
03:10,7,Neil Young,179.572
03:10,8,André,66.755
03:10,9,numanice2,
03:10,10,Flamengo,113.089
03:40,1,AEWDynamite,42.366
03:40,2,Paulo Vieira,14.239
03:40,3,Spotify,937.384
03:40,4,SecureTheTribe,42.043
03:40,5,Flamengo,122.684
03:40,6,Neil Young,190.861
03:40,7,Cavs,25.427
03:40,8,MAFS,
03:40,9,BenidormFest,221.951
03:40,10,numanice2,
04:10,1,AEWDynamite,63.692
04:10,2,Spotify,915.882
04:10,3,Paulo Vieira,14.884
04:10,4,SecureTheTribe,47.028
04:10,5,MAFS,11.627
04:10,6,Neil Young,194.778
04:10,7,MarriedAtFirstSight,10.700
04:10,8,Flamengo,121.628
04:10,9,Cavs,27.749
04:10,10,AEWBeachBreak,
04:40,1,AEWDynamite,68.765
04:40,2,Spotify,967.612
04:40,3,SecureTheTribe,52.674
04:40,4,Paulo Vieira,15.370
04:40,5,Neil Young,204.424
04:40,6,MAFS,12.466
04:40,7,Danhausen,
04:40,8,MarriedAtFirstSight,11.335
04:40,9,Baco,26.925
04:40,10,Cavs,29.558
05:10,1,AEWDynamite,71.386
05:10,2,Spotify,962.104
05:10,3,SecureTheTribe,56.516
05:10,4,Neil Young,207.309
05:10,5,Danhausen,10.703
05:10,6,Paulo Vieira,15.714
05:10,7,カプリコーン杯,
05:10,8,マシュー,14.772
05:10,9,MAFS,12.953
