hora,posicio,trend,volum
00:01,1,السعودية,3.700.000
00:01,2,اليوم الوطني,2.800.000
00:01,3,jungkook,1.779.999
00:01,4,SMTOWN,1.299.999
00:01,5,OccupyJulorbiHouse,993.000
00:01,6,نحلم_ونحقق,847.000
00:01,7,اليوم_الوطني_السعودي_93,833.000
00:01,8,SMTOWN_LIVE_2023_JAKARTA,823.000
00:01,9,Coinbase,804.000
00:01,10,FEEDY2ndxFreenBecky,790.000
00:31,1,السعودية,3.700.000
00:31,2,اليوم الوطني,2.800.000
00:31,3,jungkook,1.779.999
00:31,4,SMTOWN,1.220.000
00:31,5,OccupyJulorbiHouse,993.000
00:31,6,نحلم_ونحقق,847.000
00:31,7,اليوم_الوطني_السعودي_93,833.000
00:31,8,SMTOWN_LIVE_2023_JAKARTA,824.000
00:31,9,Coinbase,808.000
00:31,10,FEEDY2ndxFreenBecky,794.000
01:01,1,السعودية,3.700.000
01:01,2,اليوم الوطني,2.820.000
01:01,3,JUNGKOOK,2.240.000
01:01,4,jungkook,1.960.000
01:01,5,OccupyJulorbiHouse,1.000.000
01:01,6,SMTOWN_LIVE_2023_JAKARTA,837.000
01:01,7,نحلم_ونحقق,830.000
01:01,8,Coinbase,809.000
01:01,9,FEEDY2ndxFreenBecky,799.000
01:01,10,اليوم_الوطني_السعودي_93,798.000
01:31,1,السعودية,3.700.000
01:31,2,JUNGKOOK,2.920.000
01:31,3,اليوم الوطني,2.820.000
01:31,4,jungkook,1.960.000
01:31,5,OccupyJulorbiHouse,1.000.000
01:31,6,JungKookOnGlobalCitizen,882.000
01:31,7,SMTOWN_LIVE_2023_JAKARTA,842.000
01:31,8,نحلم_ونحقق,830.000
01:31,9,Coinbase,825.000
01:31,10,FEEDY2ndxFreenBecky,804.000
02:01,1,السعودية,3.580.000
02:01,2,JUNGKOOK,2.920.000
02:01,3,اليوم الوطني,2.820.000
02:01,4,jungkook,1.960.000
02:01,5,OccupyJulorbiHouse,1.020.000
02:01,6,JungKookOnGlobalCitizen,999.000
02:01,7,SMTOWN_LIVE_2023_JAKARTA,859.000
02:01,8,Coinbase,825.000
02:01,9,FEEDY2ndxFreenBecky,819.000
02:01,10,نحلم_ونحقق,815.000
02:31,1,السعودية,3.580.000
02:31,2,JUNGKOOK,2.920.000
02:31,3,اليوم الوطني,2.820.000
02:31,4,JungKookOnGlobalCitizen,1.060.000
02:31,5,OccupyJulorbiHouse,1.020.000
02:31,6,SMTOWN_LIVE_2023_JAKARTA,864.000
02:31,7,FEEDY2ndxFreenBecky,829.000
02:31,8,Coinbase,825.000
02:31,9,نحلم_ونحقق,815.000
02:31,10,اليوم_الوطني_السعودي_93,795.000
03:01,1,السعودية,3.840.000
03:01,2,JUNGKOOK,3.080.000
03:01,3,اليوم الوطني,2.800.000
03:01,4,JungKookOnGlobalCitizen,1.120.000
03:01,5,OccupyJulorbiHouse,1.020.000
03:01,6,SMTOWN_LIVE_2023_JAKARTA,877.000
03:01,7,FEEDY2ndxFreenBecky,840.000
03:01,8,Coinbase,820.000
03:01,9,نحلم_ونحقق,799.000
03:01,10,اليوم_الوطني_السعودي_93,783.000
03:31,1,السعودية,3.840.000
03:31,2,JUNGKOOK,3.080.000
03:31,3,اليوم الوطني,2.800.000
