hora,posicio,trend,volum
00:01,1,I DO,2.640.000
00:01,2,I Do,2.560.000
00:01,3,Slow Dancing,1.600.000
00:01,4,Índia,1.319.999
00:01,5,For Us,1.120.000
00:01,6,1daytoALxEnglot,1.100.000
00:01,7,V_Layover,798.000
00:01,8,Messi,769.000
00:01,9,The Team,601.000
00:01,10,Jawan,582.000
00:31,1,I DO,2.640.000
00:31,2,Slow Dancing,1.600.000
00:31,3,Índia,1.339.999
00:31,4,For Us,1.120.000
00:31,5,1daytoALxEnglot,1.100.000
00:31,6,V_Layover,798.000
00:31,7,Messi,769.000
00:31,8,Jawan,582.000
00:31,9,Ukraine,513.000
00:31,10,محمد,493.000
01:01,1,I DO,2.640.000
01:01,2,Slow Dancing,1.600.000
01:01,3,Índia,1.359.999
01:01,4,1daytoALxEnglot,1.100.000
01:01,5,For Us,1.040.000
01:01,6,V_Layover,796.000
01:01,7,Messi,769.000
01:01,8,Jawan,579.000
01:01,9,Ukraine,511.000
01:01,10,محمد,488.000
01:31,1,I DO,2.640.000
01:31,2,Slow Dancing,1.620.000
01:31,3,Índia,1.359.999
01:31,4,For Us,1.140.000
01:31,5,1daytoALxEnglot,1.100.000
01:31,6,V_Layover,800.000
01:31,7,Messi,769.000
01:31,8,Jawan,579.000
01:31,9,Ukraine,511.000
01:31,10,محمد,488.000
02:01,1,I DO,2.640.000
02:01,2,Slow Dancing,1.620.000
02:01,3,Índia,1.380.000
02:01,4,For Us,1.140.000
02:01,5,1daytoALxEnglot,1.080.000
02:01,6,V_Layover,800.000
02:01,7,Messi,768.000
02:01,8,Jawan,577.000
02:01,9,Ukraine,514.000
02:01,10,محمد,481.000
02:31,1,I DO,2.640.000
02:31,2,Airdrop,2.600.000
02:31,3,Slow Dancing,1.620.000
02:31,4,Índia,1.380.000
02:31,5,For Us,1.140.000
02:31,6,1daytoALxEnglot,1.080.000
02:31,7,V_Layover,800.000
02:31,8,Messi,768.000
02:31,9,Jawan,577.000
02:31,10,Ukraine,523.000
03:01,1,I DO,2.620.000
03:01,2,Airdrop,2.600.000
03:01,3,Slow Dancing,1.620.000
03:01,4,Índia,1.400.000
03:01,5,For Us,1.140.000
03:01,6,1daytoALxEnglot,1.040.000
03:01,7,V_Layover,800.000
03:01,8,Messi,763.000
03:01,9,Jawan,575.000
03:01,10,Ukraine,523.000
03:31,1,I DO,2.620.000
03:31,2,Airdrop,2.600.000
03:31,3,Slow Dancing,1.620.000
03:31,4,Índia,1.400.000
03:31,5,For Us,1.140.000
03:31,6,1daytoALxEnglot,994.000
03:31,7,V_Layover,800.000
03:31,8,Messi,763.000
03:31,9,Jawan,575.000
03:31,10,Ukraine,523.000
04:01,1,I DO,2.620.000
04:01,2,Airdrop,2.520.000
04:01,3,Slow Dancing,1.640.000
04:01,4,Índia,1.400.000
04:01,5,For Us,1.120.000
04:01,6,1daytoALxEnglot,994.000
04:01,7,V_Layover,796.000
04:01,8,Messi,754.000
04:01,9,Jawan,573.000
04:01,10,Ukraine,523.000
04:31,1,Airdrop,2.640.000
04:31,2,I DO,2.620.000
04:31,3,Slow Dancing,1.640.000
04:31,4,Índia,1.400.000
