hora,posicio,trend,volum
00:01,1,$tip,1.700.000
00:01,2,The Best,1.400.000
00:01,3,阪神優勝,533.000
00:01,4,iPhone,491.000
00:01,5,محمد,449.000
00:01,6,China,424.000
00:01,7,Nintendo,415.000
00:01,8,Apple,374.000
00:01,9,Mohbad,369.000
00:01,10,Hunter Biden,317.000
00:31,1,$tip,1.740.000
00:31,2,The Best,1.400.000
00:31,3,阪神優勝,533.000
00:31,4,iPhone,491.000
00:31,5,محمد,449.000
00:31,6,China,424.000
00:31,7,Nintendo,415.000
00:31,8,Apple,374.000
00:31,9,Mohbad,369.000
00:31,10,Hunter Biden,317.000
01:01,1,$tip,1.740.000
01:01,2,The Best,1.400.000
01:01,3,阪神優勝,533.000
01:01,4,iPhone,487.000
01:01,5,محمد,457.000
01:01,6,China,420.000
01:01,7,Nintendo,415.000
01:01,8,Apple,363.000
01:01,9,Mohbad,350.000
01:01,10,Hunter Biden,331.000
01:31,1,$tip,1.740.000
01:31,2,The Best,1.400.000
01:31,3,iPhone,487.000
01:31,4,محمد,457.000
01:31,5,China,420.000
01:31,6,Apple,360.000
01:31,7,Mohbad,350.000
01:31,8,Hunter Biden,334.000
01:31,9,Trans,294.000
01:31,10,MCountdown,289.000
02:01,1,$tip,1.700.000
02:01,2,The Best,1.440.000
02:01,3,iPhone,481.000
02:01,4,محمد,464.000
02:01,5,Price,423.000
02:01,6,China,416.000
02:01,7,Apple,364.000
02:01,8,Hunter Biden,346.000
02:01,9,Mohbad,338.000
02:01,10,Trans,293.000
02:31,1,$tip,1.660.000
02:31,2,The Best,1.440.000
02:31,3,iPhone,481.000
02:31,4,محمد,464.000
02:31,5,Price,423.000
02:31,6,China,416.000
02:31,7,Apple,364.000
02:31,8,Hunter Biden,348.000
02:31,9,Mohbad,338.000
02:31,10,HappyFelixDay,294.000
03:01,1,$tip,1.660.000
03:01,2,The Best,1.440.000
03:01,3,iPhone,475.000
03:01,4,محمد,469.000
03:01,5,Price,426.000
03:01,6,China,412.000
03:01,7,Apple,367.000
03:01,8,Hunter Biden,348.000
03:01,9,Mohbad,329.000
03:01,10,HappyFelixDay,299.000
03:31,1,The Best,1.440.000
03:31,2,swimsuitbkksri24xenglot,617.000
03:31,3,iPhone,475.000
03:31,4,محمد,469.000
03:31,5,Price,426.000
03:31,6,China,412.000
03:31,7,Apple,367.000
03:31,8,Hunter Biden,360.000
03:31,9,Mohbad,329.000
03:31,10,HappyFelixDay,303.000
04:01,1,swimsuitbkksri24xenglot,617.000
04:01,2,محمد,476.000
04:01,3,iPhone,468.000
04:01,4,Price,426.000
04:01,5,China,401.000
04:01,6,Apple,367.000
04:01,7,Hunter Biden,360.000
04:01,8,Mohbad,324.000
04:01,9,HappyFelixDay,306.000
04:01,10,Mcountdown,293.000
04:31,1,swimsuitbkksri24xenglot,617.000
04:31,2,محمد,476.000
04:31,3,iPhone,468.000
04:31,4,Price,426.000
04:31,5,China,406.000
04:31,6,Hunter Biden,371.000
04:31,7,Apple,367.000
04:31,8,Mohbad,324.000
04:31,9,HappyFelixDay,310.000
04:31,10,Mcountdown,293.000
05:01,1,محمد,484.000
05:01,2,iPhone,460.000
05:01,3,Price,417.000
05:01,4,China,406.000
05:01,5,Hunter Biden,381.000
05:01,6,Apple,362.000
05:01,7,Mohbad,322.000
05:01,8,HappyFelixDay,313.000
05:01,9,FelixMakingItIconicAt23,292.000
05:01,10,Trans,291.000
05:31,1,محمد,484.000
05:31,2,iPhone,460.000
05:31,3,China,406.000
05:31,4,Hunter Biden,381.000
05:31,5,Apple,362.000
05:31,6,Mohbad,322.000
05:31,7,HappyFelixDay,317.000
05:31,8,FelixMakingItIconicAt23,295.000
05:31,9,내_행복의_모양은_용복이야,292.000
05:31,10,Trans,291.000
06:01,1,محمد,490.000
06:01,2,iPhone,455.000
06:01,3,China,404.000
06:01,4,Hunter Biden,389.000
06:01,5,Apple,365.000
06:01,6,HappyFelixDay,321.000
06:01,7,Mohbad,320.000
06:01,8,FelixMakingItIconicAt23,299.000
06:01,9,내_행복의_모양은_용복이야,298.000
06:01,10,Trans,287.000
06:31,1,محمد,490.000
06:31,2,iPhone,455.000
06:31,3,China,404.000
06:31,4,Hunter Biden,389.000
06:31,5,Apple,365.000
06:31,6,HappyFelixDay,325.000
06:31,7,Mohbad,320.000
06:31,8,FelixMakingItIconicAt23,303.000
06:31,9,내_행복의_모양은_용복이야,302.000
06:31,10,Trans,289.000
07:01,1,محمد,494.000
07:01,2,iPhone,448.000
07:01,3,China,402.000
07:01,4,Hunter Biden,389.000
07:01,5,Apple,371.000
07:01,6,HappyFelixDay,325.000
07:01,7,Mohbad,318.000
07:01,8,FelixMakingItIconicAt23,306.000
07:01,9,내_행복의_모양은_용복이야,304.000
07:01,10,Trans,287.000
07:31,1,محمد,494.000
07:31,2,iPhone,448.000
07:31,3,China,403.000
07:31,4,Hunter Biden,389.000
07:31,5,Apple,371.000
07:31,6,HappyFelixDay,331.000
07:31,7,Mohbad,317.000
07:31,8,FelixMakingItIconicAt23,308.000
07:31,9,내_행복의_모양은_용복이야,307.000
07:31,10,Trans,287.000
08:01,1,محمد,498.000
08:01,2,iPhone,445.000
08:01,3,China,403.000
08:01,4,Hunter Biden,398.000
08:01,5,Apple,385.000
08:01,6,TNEmpowersWomen,352.000
08:01,7,JUNGKOOK,340.000
08:01,8,HappyFelixDay,333.000
08:01,9,Mohbad,317.000
08:01,10,FelixMakingItIconicAt23,310.000
08:31,1,محمد,498.000
08:31,2,iPhone,445.000
08:31,3,TNEmpowersWomen,404.000
08:31,4,China,403.000
08:31,5,Hunter Biden,398.000
08:31,6,Apple,385.000
08:31,7,JUNGKOOK,366.000
08:31,8,HappyFelixDay,336.000
08:31,9,Mohbad,317.000
08:31,10,FelixMakingItIconicAt23,312.000
09:01,1,Trump,920.000
09:01,2,محمد,501.000
09:01,3,TNEmpowersWomen,440.000
09:01,4,iPhone,439.000
09:01,5,China,401.000
09:01,6,Hunter Biden,398.000
09:01,7,Apple,396.000
09:01,8,JUNGKOOK,391.000
09:01,9,HappyFelixDay,338.000
09:01,10,FelixMakingItIconicAt23,314.000
09:31,1,Trump,920.000
09:31,2,محمد,501.000
09:31,3,TNEmpowersWomen,465.000
09:31,4,iPhone,439.000
09:31,5,Hunter Biden,402.000
09:31,6,China,401.000
09:31,7,JUNGKOOK,397.000
09:31,8,Apple,396.000
09:31,9,HappyFelixDay,338.000
09:31,10,FelixMakingItIconicAt23,316.000
10:01,1,Trump,920.000
10:01,2,محمد,501.000
10:01,3,TNEmpowersWomen,465.000
10:01,4,iPhone,431.000
10:01,5,jungkook,411.000
10:01,6,Hunter Biden,402.000
10:01,7,China,400.000
10:01,8,JUNGKOOK,397.000
10:01,9,Apple,396.000
10:01,10,HappyFelixDay,343.000
10:31,1,Trump,920.000
10:31,2,محمد,501.000
10:31,3,TNEmpowersWomen,465.000
10:31,4,iPhone,431.000
10:31,5,jungkook,411.000
10:31,6,Hunter Biden,404.000
10:31,7,China,400.000
10:31,8,JUNGKOOK,397.000
10:31,9,Apple,396.000
10:31,10,HappyFelixDay,345.000
11:01,1,Trump,918.000
11:01,2,محمد,516.000
11:01,3,TNEmpowersWomen,465.000
11:01,4,jungkook,422.000
11:01,5,iPhone,412.000
11:01,6,Hunter Biden,407.000
11:01,7,China,398.000
11:01,8,JUNGKOOK,397.000
11:01,9,Apple,396.000
11:01,10,HappyFelixDay,347.000
11:31,1,Trump,918.000
11:31,2,محمد,517.000
11:31,3,jungkook,422.000
11:31,4,Jungkook,418.000
11:31,5,iPhone,412.000
11:31,6,Hunter Biden,407.000
11:31,7,Apple,400.000
11:31,8,China,398.000
11:31,9,HappyFelixDay,349.000
11:31,10,FelixMakingItIconicAt23,324.000
12:01,1,Trump,911.000
12:01,2,محمد,537.000
12:01,3,jungkook,422.000
12:01,4,Jungkook,418.000
12:01,5,iPhone,412.000
12:01,6,Hunter Biden,409.000
12:01,7,Apple,400.000
12:01,8,China,390.000
12:01,9,HappyFelixDay,351.000
12:01,10,FelixMakingItIconicAt23,326.000
12:31,1,محمد,537.000
12:31,2,jungkook,422.000
12:31,3,Jungkook,418.000
12:31,4,iPhone,412.000
12:31,5,Hunter Biden,409.000
12:31,6,Apple,402.000
12:31,7,China,397.000
12:31,8,HappyFelixDay,352.000
12:31,9,FelixMakingItIconicAt23,327.000
12:31,10,내_행복의_모양은_용복이야,325.000
13:01,1,محمد,553.000
13:01,2,jungkook,437.000
13:01,3,Jungkook,418.000
13:01,4,Apple,413.000
13:01,5,Hunter Biden,409.000
13:01,6,iPhone,405.000
13:01,7,China,397.000
13:01,8,HappyFelixDay,354.000
13:01,9,FelixMakingItIconicAt23,329.000
13:01,10,내_행복의_모양은_용복이야,328.000
13:31,1,محمد,553.000
13:31,2,Felix,527.000
13:31,3,jungkook,437.000
13:31,4,Hunter Biden,414.000
13:31,5,Apple,413.000
13:31,6,iPhone,405.000
13:31,7,China,397.000
13:31,8,HappyFelixDay,370.000
13:31,9,FelixMakingItIconicAt23,336.000
13:31,10,내_행복의_모양은_용복이야,330.000
14:01,1,Hunter,577.000
14:01,2,محمد,560.000
14:01,3,Felix,541.000
14:01,4,jungkook,437.000
14:01,5,Hunter Biden,420.000
14:01,6,Apple,416.000
14:01,7,iPhone,402.000
14:01,8,China,386.000
14:01,9,HappyFelixDay,377.000
14:01,10,FelixMakingItIconicAt23,339.000
14:31,1,Hunter,577.000
14:31,2,محمد,560.000
14:31,3,Felix,546.000
14:31,4,jungkook,437.000
14:31,5,Hunter Biden,421.000
14:31,6,Apple,416.000
14:31,7,iPhone,402.000
14:31,8,HappyFelixDay,382.000
14:31,9,FelixMakingItIconicAt23,339.000
14:31,10,내_행복의_모양은_용복이야,334.000
15:01,1,Hunter,577.000
15:01,2,محمد,565.000
15:01,3,Felix,556.000
15:01,4,Apple,427.000
15:01,5,FinalMGTBKK24xENGLOT,422.000
15:01,6,Hunter Biden,421.000
15:01,7,China,395.000
15:01,8,iPhone,390.000
15:01,9,HappyFelixDay,387.000
15:01,10,FelixMakingItIconicAt23,339.000
15:31,1,Hunter,577.000
15:31,2,محمد,565.000
15:31,3,Felix,556.000
15:31,4,FinalMGTBKK24xENGLOT,555.000
15:31,5,Apple,427.000
15:31,6,Hunter Biden,426.000
15:31,7,China,395.000
15:31,8,HappyFelixDay,392.000
15:31,9,내_행복의_모양은_용복이야,340.000
15:31,10,FelixMakingItIconicAt23,339.000
16:01,1,FinalMGTBKK24xENGLOT,686.000
16:01,2,Hunter,594.000
16:01,3,محمد,568.000
16:01,4,Felix,556.000
16:01,5,Hunter Biden,435.000
16:01,6,Apple,431.000
16:01,7,HappyFelixDay,396.000
16:01,8,China,395.000
16:01,9,FelixMakingItIconicAt23,351.000
16:01,10,내_행복의_모양은_용복이야,342.000
16:31,1,FinalMGTBKK24xENGLOT,806.000
16:31,2,Hunter,594.000
16:31,3,محمد,568.000
16:31,4,Felix,556.000
16:31,5,Hunter Biden,435.000
16:31,6,Apple,431.000
16:31,7,HappyFelixDay,396.000
16:31,8,China,395.000
16:31,9,FelixMakingItIconicAt23,351.000
16:31,10,내_행복의_모양은_용복이야,342.000
17:01,1,FinalMGTBKK24xENGLOT,931.000
17:01,2,Hunter,594.000
17:01,3,محمد,574.000
17:01,4,Hunter Biden,443.000
17:01,5,Apple,438.000
17:01,6,China,399.000
17:01,7,HappyFelixDay,396.000
17:01,8,FelixMakingItIconicAt23,351.000
17:01,9,내_행복의_모양은_용복이야,342.000
17:01,10,Dave,276.000
17:31,1,For Us,1.100.000
17:31,2,FinalMGTBKK24xENGLOT,1.060.000
17:31,3,Hunter,594.000
17:31,4,محمد,574.000
17:31,5,Hunter Biden,443.000
17:31,6,Apple,438.000
17:31,7,México,407.000
17:31,8,China,399.000
17:31,9,HappyFelixDay,396.000
17:31,10,FelixMakingItIconicAt23,351.000
18:01,1,For Us,1.220.000
18:01,2,FinalMGTBKK24xENGLOT,1.080.000
18:01,3,Bitcoin,612.000
18:01,4,Hunter,593.000
18:01,5,محمد,574.000
18:01,6,NFTs,444.000
18:01,7,Hunter Biden,443.000
18:01,8,Apple,438.000
18:01,9,México,407.000
18:01,10,China,402.000
18:31,1,FinalMGTBKK24xENGLOT,1.400.000
18:31,2,For Us,1.259.999
18:31,3,Hunter,613.000
18:31,4,Bitcoin,612.000
18:31,5,محمد,574.000
18:31,6,Hunter Biden,451.000
18:31,7,NFTs,444.000
18:31,8,Apple,438.000
18:31,9,México,409.000
18:31,10,China,402.000
19:01,1,FinalMGTBKK24xENGLOT,1.480.000
19:01,2,For Us,1.259.999
19:01,3,Hunter,626.000
19:01,4,Bitcoin,612.000
19:01,5,محمد,568.000
19:01,6,Hunter Biden,451.000
19:01,7,Apple,450.000
19:01,8,NFTs,444.000
19:01,9,México,409.000
19:01,10,China,406.000
19:31,1,FinalMGTBKK24xENGLOT,1.560.000
19:31,2,For Us,1.259.999
19:31,3,Hunter,626.000
19:31,4,Bitcoin,612.000
19:31,5,محمد,568.000
19:31,6,Hunter Biden,451.000
19:31,7,Apple,450.000
19:31,8,NFTs,444.000
19:31,9,México,409.000
19:31,10,China,406.000
20:01,1,FinalMGTBKK24xENGLOT,1.600.000
20:01,2,For Us,1.259.999
20:01,3,Hunter,626.000
20:01,4,Bitcoin,612.000
20:01,5,Pepê,571.000
20:01,6,محمد,559.000
20:01,7,NFTs,451.000
20:01,8,$LTC,434.000
20:01,9,China,410.000
20:01,10,Aadi_Sanatan_Dharma,392.000
20:31,1,FinalMGTBKK24xENGLOT,1.600.000
20:31,2,Hunter,626.000
20:31,3,Pepê,571.000
20:31,4,محمد,559.000
20:31,5,NFTs,451.000
20:31,6,$LTC,434.000
20:31,7,China,410.000
20:31,8,Aadi_Sanatan_Dharma,395.000
20:31,9,BackForMore,284.000
20:31,10,Dave,280.000
21:01,1,FinalMGTBKK24xENGLOT,1.660.000
21:01,2,Hunter,609.000
21:01,3,Pepê,571.000
21:01,4,محمد,544.000
21:01,5,NFTs,472.000
21:01,6,$LTC,434.000
21:01,7,China,414.000
21:01,8,Aadi_Sanatan_Dharma,396.000
21:01,9,Dave,291.000
21:01,10,BackForMore,285.000
21:31,1,FinalMGTBKK24xENGLOT,1.660.000
21:31,2,Tik Tok,773.000
21:31,3,Hunter,609.000
21:31,4,Pepê,590.000
21:31,5,محمد,544.000
21:31,6,NFTs,472.000
21:31,7,$LTC,434.000
21:31,8,China,414.000
21:31,9,Aadi_Sanatan_Dharma,397.000
21:31,10,Dave,291.000
22:01,1,FinalMGTBKK24xENGLOT,1.660.000
22:01,2,Tik Tok,783.000
22:01,3,Pepê,590.000
22:01,4,Hunter,566.000
22:01,5,محمد,527.000
22:01,6,NFTs,475.000
22:01,7,$LTC,432.000
22:01,8,China,416.000
22:01,9,Aadi_Sanatan_Dharma,398.000
22:01,10,Dave,291.000
22:31,1,FinalMGTBKK24xENGLOT,1.680.000
22:31,2,Tik Tok,783.000
22:31,3,Pepê,590.000
22:31,4,Hunter,566.000
22:31,5,محمد,527.000
22:31,6,NFTs,475.000
22:31,7,China,416.000
22:31,8,Aadi_Sanatan_Dharma,398.000
22:31,9,Dave,291.000
22:31,10,BackForMore,287.000
23:01,1,FinalMGTBKK24xENGLOT,1.700.000
23:01,2,Tik Tok,783.000
23:01,3,محمد,511.000
23:01,4,NFTs,479.000
23:01,5,China,416.000
23:01,6,Aadi_Sanatan_Dharma,399.000
23:01,7,الهلال,292.000
23:01,8,BackForMore,288.000
23:01,9,Dave,280.000
23:01,10,TOMORROW_X_TOGETHER,264.000
23:31,1,FinalMGTBKK24xENGLOT,1.700.000
23:31,2,Tik Tok,783.000
23:31,3,محمد,511.000
23:31,4,NFTs,479.000
23:31,5,China,416.000
23:31,6,Aadi_Sanatan_Dharma,399.000
23:31,7,الهلال,328.000
23:31,8,BackForMore,288.000
23:31,9,TOMORROW_X_TOGETHER,264.000
23:31,10,Lampedusa,254.000
