Date,Title,Description,URL,Author
2025-07-09,Excelerate Energy signs deal with Petrobras to upgrade FSRU with reliquifaction unit,LNG player Excelerate Energy has signed an agreement with Petrobras to install a reliquefaction unit on the Experience floating storage regasification unit deployed as the Rio LNG terminal in Rio de Janeiro.,https://terminal.kpler.com/insight/news/excelerate-energy-signs-deal-with-petrobras-to-upgrade-fsru-with-reliquifaction-unit,JS
2025-07-09,Cypriot electricity lobby rings alarm bells over Vasilikos LNG delay,Cyprus-based Electricity Market Association (EMA) has expressed concern over the continued delay affecting the Vasilikos LNG import project.,https://terminal.kpler.com/insight/news/cypriot-electricity-lobby-rings-alarm-bells-over-vasilikos-lng-delay,JS
2025-07-09,Sefe Storage allocates 3.9 TWh of storage capacity at Germany's Rehden,Sefe Storage gas allocated the storage capacity of approx. 3.9 TWh for the remainder of  the storage year 2025/2026 in Rehden underground gas storage (UGS) on the PRISMA capacity platform.,https://terminal.kpler.com/insight/news/sefe-storage-allocates-3-9-t-wh-of-storage-capacity-at-germany-s-rehden,JS
2025-07-09,Venture Global to supply Sefe with 0.75 mtpa more LNG for 20 years,Venturee Global has signed an agreement with Germany’s Security Energy For Europe (Sefe) to supply an additional 0.75 mtpa of LNG from the proposed 20 mtpa CP2 export project in Louisiana for 20 years.,https://terminal.kpler.com/insight/news/venture-global-to-supply-sefe-with-0-75-mtpa-more-lng-for-20-years,JS
2025-07-09,"Argentina’s Enarsa issues fourth LNG tender, could lift 2025 total to 27 cargoes","Argentina’s state-run energy firm Energia Argentina, or Enarsa, has launched its fourth LNG tender of the year, seeking five cargoes for delivery in August for its 6.1 mtpa Escobar terminal, according to market sources. The tender, which closes on July 15, specifies deliveries on August 9, 13, 17, 22, and 28.",https://terminal.kpler.com/insight/news/argentina-s-enarsa-issues-fourth-lng-tender-could-lift-2025-total-to-27-cargoes,CK
2025-07-09,GTA FLNG begins third quarter with BW ENN Snow Lotus shipping the fifth LNG cargo,"The BP-led 2.5 mtpa Greater Tortue Ahmeyim floating LNG project has kicked off the third quarter with the shipment of its fifth cargo now aboard the 174,000 m3 BW ENN Snow Lotus, following two ship-to-ship transfers of LNG from the Gimi FLNG unit.",https://terminal.kpler.com/insight/news/gta-flng-begins-third-quarter-with-bw-enn-snow-lotus-shipping-fifth-lng-cargo,CK
2025-07-09,Excelerate launches newbuild FSRU Hull 3407 at HD Hyundai Heavy Industries yard,"Floating LNG infrastructure provider Excelerate Energy has launched its newbuild floating storage and regasification unit Hull 3407, from HD Hyundai Heavy Industries in South Korea, bringing it closer to its expected delivery in 2026.",https://terminal.kpler.com/insight/news/excelerate-launches-newbuild-fsru-hull-3407-at-hd-hyundai-heavy-industries-yard,CK
2025-07-09,ExxonMobil confirms gas discovery offshore Cyprus,"ExxonMobil has announced a new natural gas discovery at the Pegasus-1 well in Block 10 of Cyprus’s Exclusive Economic Zone, marking the second find in the area for the consortium involved in the exploration.",https://terminal.kpler.com/insight/news/exxon-mobil-confirms-gas-discovery-offshore-cyprus,CK
