Date,Title,Description,URL,Author
2025-07-29,Baker Hughes to acquire Chart Industries,US cryogenic equipment maker Chart Industries and compatriot energy technology giant Bake Hughes have entered into a definitive agreement under which Baker Hughes will acquire Chart for a total enterprise value of $13.6 billion.,https://terminal.kpler.com/insight/news/baker-hughes-to-acquire-chart-industries,JS
2025-07-29,Sanctioned cargo from Russia on its way to Asia after floating for over five months,"A cargo lifted from the sanctioned 1.5 mtpa Portovaya LNG plant in Russia appears to be en route to Asia, over five months after loading and idling floating storage due to sanctions.",https://terminal.kpler.com/insight/news/sanctioned-cargo-from-russia-on-its-way-to-asia-after-floating-for-over-five-months,JS
2025-07-29,Arctic LNG 2 ramps up as fourth vessel due to load cargo,"The activity at the sanctioned 19.8 mtpa Arctic LNG 2 export plant in Russia has ramped up, as a fourth tanker was spotted close to the facility possibly preparing to load cargo.",https://terminal.kpler.com/insight/news/arctic-lng-2-ramps-up-as-fourth-vessel-due-to-load-cargo,JS
2025-07-29,India’s Dahej July LNG imports rebound on-month; expansion completion timeline slips again,"LNG imports at India’s largest terminal, the 17.5 mtpa Dahej export facility in Gujarat, are expected to rise month-on-month in July, although volumes remain below year-ago levels.",https://terminal.kpler.com/insight/news/india-s-dahej-july-lng-imports-rebound-on-month-expansion-completion-timeline-slips-again,CK
2025-07-29,Petronet LNG switches Gopalpur LNG plan from FSRU to land-based facility,Indian LNG importer Petronet LNG has switched ita plans for a floating storage regasification unit (FSRU) at Gopalpur LNG in Odisha to a land-based facility due to a shortage of floating units.,https://terminal.kpler.com/insight/news/petronet-lng-switches-gopalpur-lng-plan-from-fsru-to-land-based-facility,JS
2025-07-29,"Slower loadings, idle tankers point to commissioning issues at LNG Canada","The Shell-led 14 mtpa LNG Canada project has not shipped a cargo since Jul. 24, suggesting the possibility of commissioning-related issues at the newly launched export terminal in Kitimat.",https://terminal.kpler.com/insight/news/slower-loadings-idle-tankers-point-to-commissioning-issues-at-lng-canada,CK
2025-07-29,Demand rises for Trans-Balkan gas capacity to Ukraine,"Booking of firm bundled capacity along the Trans-Balkan corridor rose by 2.6 times in the latest auction, underscoring growing interest in routing LNG and other gas volumes from Greece to Ukraine via Southeast Europe’s integrated transport network.",https://terminal.kpler.com/insight/news/demand-rises-for-trans-balkan-gas-capacity-to-ukraine-1,CK
2025-07-29,Woodside to take over operatorship of Bass Strait oil and gas assets from ExxonMobil,"Australian independent Woodside Energy has agreed to take over  operatorship of the Bass Strait oil and gas assets from ExxonMobil Australia, strengthening its position in the Australian domestic gas sector.",https://terminal.kpler.com/insight/news/woodside-to-take-over-operatorship-of-bass-strait-oil-and-gas-assets-from-exxon-mobil,CK
