hora,posicio,trend,volum
00:10,1,KohLanta,41.504
00:10,2,SalarioRosa,46.687
00:10,3,Sora,758.909
00:10,4,SecretCuentaAtrás4,45.641
00:10,5,asktommy,
00:10,6,Coumba,11.731
00:10,7,GBBO,10.866
00:10,8,震度5強,24.074
00:10,9,LOUD CORINGA NO PODPAH,15.698
00:10,10,Claude,16.692
00:41,1,SalarioRosa,48.261
00:41,2,KohLanta,42.373
00:41,3,SecretCuentaAtrás4,51.498
00:41,4,Sora,779.603
00:41,5,LOUD CORINGA NO PODPAH,35.499
00:41,6,BTSCONCERT,
00:41,7,asktommy,
00:41,8,Coumba,12.122
00:41,9,MAGICAL LENA,15.103
00:41,10,震度5強,26.101
01:10,1,SalarioRosa,49.701
01:10,2,KohLanta,42.879
01:10,3,BTSCONCERT,17.177
01:10,4,LOUD CORINGA NO PODPAH,44.614
01:10,5,SecretCuentaAtrás4,57.716
01:10,6,メンテ恒例,
01:10,7,Sora,794.088
01:10,8,MAGICAL LENA,23.380
01:10,9,LOUD CORINGA PJB,23.891
01:10,10,震度5強,27.862
01:41,1,SalarioRosa,51.188
01:41,2,BTSCONCERT,23.639
01:41,3,メンテ恒例,
01:41,4,KohLanta,43.227
01:41,5,虎者NINJAPAN2021,
01:41,6,LOUD CORINGA NO PODPAH,46.753
01:41,7,Yankees,77.819
01:41,8,世界的彼氏,
01:41,9,Sora,811.832
01:41,10,MAGICAL LENA,27.123
02:10,1,Yankees,85.692
02:10,2,BTSCONCERT,28.604
02:10,3,SalarioRosa,52.484
02:10,4,メンテ恒例,
02:10,5,自分をオタクにした原因晒す選手権,13.712
02:10,6,虎者NINJAPAN2021,
02:10,7,LOUD CORINGA NO PODPAH,47.595
02:10,8,世界的彼氏,
02:10,9,MAGICAL LENA,27.974
02:10,10,Sora,824.259
02:41,1,Yankees,97.160
02:41,2,Stanton,
02:41,3,BachelorInParadise,
02:41,4,WildCardGame,
02:41,5,Xander,11.178
02:41,6,Gerrit Cole,
02:41,7,DirtyWater,
02:41,8,BTSCONCERT,32.348
02:41,9,自分をオタクにした原因晒す選手権,14.686
02:41,10,Fenway,12.897
03:10,1,Yankees,105.602
03:10,2,BachelorInParadise,11.726
03:10,3,Jaylon Smith,11.239
03:10,4,Gerrit Cole,
03:10,5,Stanton,
03:10,6,WildCardGame,
03:10,7,Bulls,29.232
03:10,8,Piton,
03:10,9,自分をオタクにした原因晒す選手権,15.611
03:10,10,DirtyWater,
03:41,1,Gerrit Cole,21.911
03:41,2,BachelorInParadise,22.181
03:41,3,Yankees,122.176
03:41,4,Jaylon Smith,15.129
03:41,5,Bulls,34.399
03:41,6,Roger Guedes,11.490
03:41,7,HipHopAwards,
03:41,8,WildCardGame,
03:41,9,Piton,10.681
03:41,10,Stanton,10.096
04:10,1,Yankees,136.334
04:10,2,Gerrit Cole,24.554
04:10,3,BachelorInParadise,27.039
04:10,4,TheMaskedSingerbr,
04:10,5,Corinthians,114.409
04:10,6,Stanton,13.697
04:10,7,Eovaldi,14.030
04:10,8,Rizzo,13.309
04:10,9,Rizzo,13.309
04:10,10,Bulls,36.613
04:41,1,RoçaAFazenda,59.900
04:41,2,TheMaskedSingerbr,19.742
04:41,3,Yankees,148.159
04:41,4,BachelorInParadise,34.022
04:41,5,Corinthians,140.770
04:41,6,Gerrit Cole,25.786
04:41,7,Stanton,16.927
04:41,8,Judge,141.663
04:41,9,TheMaskedBrasil,
04:41,10,HipHopAwards,16.423
05:10,1,RoçaAFazenda,108.194
05:10,2,Yankees,159.794
05:10,3,TheMaskedSingerbr,29.167
05:10,4,BachelorInParadise,40.039
05:10,5,Corinthians,149.231
05:10,6,Nelly,11.071
05:10,7,Gerrit Cole,26.867
05:10,8,Mc Gui,35.294
05:10,9,HipHopAwards,22.192
05:10,10,TheMaskedBrasil,
05:41,1,Yankees,208.238
05:41,2,roçaafazenda,142.898
05:41,3,TheMaskedSingerbr,30.198
05:41,4,Stanton,24.854
05:41,5,BachelorInParadise,41.607
05:41,6,MC Gui,45.383
05:41,7,Corinthians,155.171
05:41,8,DirtyWater,16.246
05:41,9,Gerrit Cole,30.790
05:41,10,LMD4,
06:10,1,Yankees,223.852
06:10,2,RoçaAFazenda,148.594
06:10,3,TheMaskedSingerbr,30.512
06:10,4,Stanton,26.355
06:10,5,LMD4,14.856
06:10,6,BachelorInParadise,42.544
06:10,7,MC Gui,47.866
06:10,8,DirtyWater,17.048
06:10,9,Gerrit Cole,32.429
06:10,10,Corinthians,157.852
06:41,1,Yankees,232.175
06:41,2,RoçaAFazenda,151.377
06:41,3,Red Sox,83.305
06:41,4,LMD4,17.536
06:41,5,Stanton,27.178
06:41,6,TheMaskedSingerbr,30.762
06:41,7,BachelorInParadise,43.422
06:41,8,LoveBack,28.799
06:41,9,MC Gui,49.165
06:41,10,Boone,23.413
07:10,1,Yankees,235.762
07:10,2,RoçaAFazenda,152.741
07:10,3,LMD4,18.704
07:10,4,Red Sox,84.660
07:10,5,LoveBack,32.528
07:10,6,Stanton,27.576
07:10,7,TheMaskedSingerbr,30.875
07:10,8,BachelorInParadise,44.005
07:10,9,Mc Gui,49.527
07:10,10,Boone,23.979
07:41,1,Yankees,238.660
07:41,2,RoçaAFazenda,153.856
07:41,3,LMD4,19.712
07:41,4,Red Sox,85.658
07:41,5,LoveBack,34.251
07:41,6,BachelorInParadise,44.563
07:41,7,themaskedsingerbr,31.014
07:41,8,Stanton,27.873
07:41,9,DONBELLE ON NETFLIX,83.122
07:41,10,サイスタ,38.644
08:10,1,Yankees,239.960
08:10,2,RoçaAFazenda,154.562
08:10,3,LMD4,20.390
08:10,4,LoveBack,35.888
08:10,5,サイスタ,43.468
08:10,6,Red Sox,86.144
08:10,7,自分をオタクにした原因晒す選手権,25.436
