hora,posicio,trend,volum
00:10,1,TeşekkürlerErdoğan,90.088
00:10,2,gfvip,54.161
00:10,3,MCCelebrity,
00:10,4,suriyeli,
00:10,5,BJKvGS,95.012
00:10,6,Talleres,12.291
00:10,7,Conte,159.915
00:10,8,Brendan Fraser,11.884
00:10,9,50 MILHÕES EP JULIETTE,14.636
00:10,10,Lanús,
00:41,1,gfvip,62.942
00:41,2,TeşekkürlerErdoğan,93.608
00:41,3,MCCelebrity,10.558
00:41,4,تزوج_اربعه_وانبسط,
00:41,5,suriyeli,11.039
00:41,6,50 MILHÕES EP JULIETTE,19.659
00:41,7,Flacco,
00:41,8,Conte,166.262
00:41,9,talleres,13.139
00:41,10,Zuculini,
01:10,1,gfvip,66.916
01:10,2,MCCelebrity,11.750
01:10,3,TeşekkürlerErdoğan,95.813
01:10,4,تزوج_اربعه_وانبسط,
01:10,5,suriyeli,11.640
01:10,6,50 MILHÕES EP JULIETTE,22.101
01:10,7,Flacco,
01:10,8,Zuculini,
01:10,9,EU SOU BEM MELHOR COM VOCÊ,36.154
01:10,10,Conte,169.143
01:41,1,River,139.102
01:41,2,gfvip,70.288
01:41,3,MCCelebrity,13.217
01:41,4,Palavecino,
01:41,5,منشن_حبك_بتغريده,
01:41,6,TeşekkürlerErdoğan,97.018
01:41,7,suriyeli,12.140
01:41,8,Flacco,
01:41,9,50 MILHÕES EP JULIETTE,23.398
01:41,10,Jabari Parker,
02:10,1,River,152.573
02:10,2,Palavecino,
02:10,3,MCCelebrity,13.612
02:10,4,WWERaw,
02:10,5,gfvip,71.074
02:10,6,منشن_حبك_بتغريده,
02:10,7,Carrascal,
02:10,8,AllAmerican,
02:10,9,Vanderson,
02:10,10,Paulo Miranda,
02:41,1,Paulo Miranda,
02:41,2,River,163.470
02:41,3,WWERaw,16.985
02:41,4,Alisson,10.704
02:41,5,gremio,48.386
02:41,6,Bagaceira,
02:41,7,AllAmerican,
02:41,8,Peyton,
02:41,9,Mancini,
02:41,10,Diego Souza,
03:10,1,Marshawn,17.773
03:10,2,Paulo Miranda,
03:10,3,River,163.535
03:10,4,Peyton,11.874
03:10,5,WWERaw,25.320
03:10,6,gremio,64.508
03:10,7,Alisson,11.722
03:10,8,DWTS,
03:10,9,Bagaceira,
03:10,10,AllAmerican,11.437
03:41,1,Marshawn,21.910
03:41,2,Peyton,16.450
03:41,3,Peyton,16.450
03:41,4,WWERaw,36.385
03:41,5,Paulo Miranda,
03:41,6,DWTS,
03:41,7,River,169.063
03:41,8,gremio,72.223
03:41,9,Bagaceira,11.716
03:41,10,Alisson,12.295
04:10,1,Peyton,19.046
04:10,2,Peyton,19.046
04:10,3,WWERaw,42.416
04:10,4,Marshawn,24.355
04:10,5,Luiz Adriano,
04:10,6,Paulo Miranda,
04:10,7,DWTS,11.753
04:10,8,River,168.688
04:10,9,gremio,75.272
04:10,10,Bulls,36.129
04:41,1,Peyton,21.856
04:41,2,Peyton,21.856
04:41,3,WWERaw,48.623
04:41,4,ProvaDeFogo,
04:41,5,Marshawn,26.156
04:41,6,Luiz Adriano,
04:41,7,Scarpa,
04:41,8,DWTS,12.512
04:41,9,Paulo Miranda,10.143
04:41,10,Bulls,42.389
05:10,1,WWERaw,55.127
05:10,2,Peyton,23.477
05:10,3,ProvaDeFogo,12.717
05:10,4,Seahawks,35.850
05:10,5,Jameis,10.309
05:10,6,Luiz Adriano,
05:10,7,Marshawn,27.375
05:10,8,Saints,58.510
05:10,9,Scarpa,
05:10,10,DWTS,12.999
05:41,1,Seahawks,45.206
05:41,2,Geno,19.803
05:41,3,Saints,70.114
05:41,4,WWERaw,57.836
05:41,5,Peyton,24.754
05:41,6,ProvaDeFogo,14.141
05:41,7,Jameis,11.681
05:41,8,Demario Davis,
05:41,9,Luiz Adriano,
05:41,10,NOvsSEA,14.001
06:10,1,Seahawks,47.608
06:10,2,Geno,20.443
06:10,3,Temblor,
06:10,4,Saints,73.005
06:10,5,GranFinalYoSoy,
06:10,6,WWERaw,58.981
06:10,7,Peyton,25.294
06:10,8,ProvaDeFogo,14.518
06:10,9,Jameis,12.203
06:10,10,Demario Davis,
06:41,1,Seahawks,48.954
06:41,2,Temblor,
06:41,3,Geno,20.875
06:41,4,GranFinalYoSoy,
06:41,5,Saints,74.827
06:41,6,LastBreath,47.125
06:41,7,WWERaw,60.134
06:41,8,아래 링크,
06:41,9,Jameis,12.503
06:41,10,Peyton,25.786
07:10,1,Seahawks,49.607
07:10,2,Temblor,
07:10,3,Geno,21.059
07:10,4,カムイ伝,14.317
07:10,5,LastBreath,60.131
07:10,6,หวานใจก็ใส่CC,28.840
07:10,7,Saints,75.287
07:10,8,granfinalyosoy,
07:10,9,아래 링크,
07:10,10,Dispatch,81.636
07:41,1,眞子さん,77.320
07:41,2,カムイ伝,19.086
07:41,3,眞子さま,98.271
07:41,4,Seahawks,50.235
07:41,5,LastBreath,71.202
07:41,6,아래 링크,
07:41,7,Temblor,
07:41,8,Geno,21.294
07:41,9,Dispatch,91.368
07:41,10,หวานใจก็ใส่CC,38.270
08:10,1,眞子さん,84.111
08:10,2,カムイ伝,22.273
08:10,3,眞子さま,102.481
08:10,4,LastBreath,77.542
08:10,5,아래 링크,
08:10,6,Dispatch,99.050
08:10,7,KAI_IS_COMING,
08:10,8,普段と酔ったあなたの危険度,
08:10,9,หวานใจก็ใส่CC,46.094
08:10,10,colorsculturebyPPKRITT,49.009
08:41,1,KAI_IS_COMING,15.626
08:41,2,眞子さん,90.621
08:41,3,カムイ伝,24.877
08:41,4,眞子さま,107.098
08:41,5,普段と酔ったあなたの危険度,
08:41,6,Dispatch,107.511
08:41,7,UhuruAt60,
08:41,8,salı,
08:41,9,아래 링크,
08:41,10,LastBreath,82.440
09:10,1,KAI_IS_COMING,31.279
09:10,2,眞子さん,95.608
09:10,3,カムイ伝,26.779
09:10,4,普段と酔ったあなたの危険度,
09:10,5,眞子さま,109.945
09:10,6,UhuruAt60,
09:10,7,salı,
09:10,8,Dispatch,114.823
09:10,9,아래 링크,
09:10,10,colorsculturebyPPKRITT,54.278
09:41,1,KAI_IS_COMING,44.580
09:41,2,眞子さん,101.014
09:41,3,普段と酔ったあなたの危険度,
09:41,4,カムイ伝,28.400
09:41,5,カラ館でINI,
09:41,6,UhuruAt60,
09:41,7,眞子さま,113.167
09:41,8,salı,
09:41,9,ATTACCA MILLION SELLER,18.432
09:41,10,Dispatch,122.549
10:10,1,KAI_IS_COMING,52.999
10:10,2,مبادره_مستقبل_الاستثمار,
10:10,3,眞子さん,105.236
10:10,4,普段と酔ったあなたの危険度,
10:10,5,カラ館でINI,
10:10,6,UhuruAt60,10.345
10:10,7,カムイ伝,29.763
10:10,8,眞子さま,115.651
10:10,9,ATTACCA MILLION SELLER,26.842
10:10,10,chenle,48.676
10:41,1,مبادره_مستقبل_الاستثمار,
10:41,2,KAI_IS_COMING,60.929
10:41,3,普段と酔ったあなたの危険度,
10:41,4,眞子さん,109.943
10:41,5,カラ館でINI,
10:41,6,スシロースゴ技まつり,
10:41,7,カムイ伝,31.259
10:41,8,Benzine 28,
10:41,9,眞子さま,118.662
10:41,10,ATTACCA MILLION SELLER,29.757
11:10,1,KAI_IS_COMING,67.383
11:10,2,مبادره_مستقبل_الاستثمار,
11:10,3,普段と酔ったあなたの危険度,
11:10,4,眞子さん,114.436
11:10,5,カラ館でINI,
11:10,6,スシロースゴ技まつり,
