hora,posicio,trend,volum
00:10,1,Morata,405.669
00:10,2,EURO2020,514.561
00:10,3,ITAESP,256.119
00:10,4,Italy,361.448
00:10,5,Italy,361.448
00:10,6,Thiago,93.077
00:10,7,Chiellini,59.378
00:10,8,Dani Olmo,42.462
00:10,9,Eurocopa,126.822
00:10,10,Luis Enrique,54.802
00:41,1,Morata,433.851
00:41,2,EURO2020,565.769
00:41,3,ITAESP,276.765
00:41,4,Italy,383.447
00:41,5,España,572.119
00:41,6,Chiellini,70.768
00:41,7,Thiago,98.835
00:41,8,Eurocopa,140.690
00:41,9,Luis Enrique,65.690
00:41,10,Dani Olmo,45.194
01:10,1,Morata,445.254
01:10,2,EURO2020,588.922
01:10,3,ITAESP,286.131
01:10,4,Italy,390.853
01:10,5,Italy,390.853
01:10,6,España,576.818
01:10,7,Chiellini,77.122
01:10,8,Thiago,98.068
01:10,9,Eurocopa,143.970
01:10,10,Luis Enrique,71.555
01:41,1,Morata,452.897
01:41,2,EURO2020,606.704
01:41,3,ITAESP,292.295
01:41,4,Italy,399.005
01:41,5,Italy,399.005
01:41,6,España,588.381
01:41,7,七夕の願い事,85.735
01:41,8,Chiellini,80.872
01:41,9,Thiago,101.264
01:41,10,Eurocopa,149.119
02:10,1,Morata,457.935
02:10,2,EURO2020,615.254
02:10,3,ITAESP,295.777
02:10,4,Italy,402.187
02:10,5,Italy,402.187
02:10,6,七夕の願い事,93.577
02:10,7,España,587.419
02:10,8,THEMATCH,
02:10,9,Chiellini,83.717
02:10,10,Thiago,99.230
02:41,1,Morata,461.775
02:41,2,EURO2020,624.451
02:41,3,ITAESP,298.257
02:41,4,七夕の願い事,100.597
02:41,5,Italy,406.681
02:41,6,Italia,537.969
02:41,7,THEMATCH,
02:41,8,España,593.236
02:41,9,Chiellini,85.833
02:41,10,Thiago,100.925
03:10,1,Morata,464.572
03:10,2,七夕の願い事,107.341
03:10,3,EURO2020,628.722
03:10,4,ITAESP,299.684
03:10,5,Argentina,252.142
03:10,6,NBAFinals,35.604
03:10,7,Italia,540.062
03:10,8,Italy,408.017
03:10,9,THEMATCH,10.722
03:10,10,Lautaro,11.510
03:41,1,Giannis,72.391
03:41,2,Argentina,291.057
03:41,3,Morata,466.835
03:41,4,NBAFinals,41.948
03:41,5,七夕の願い事,116.055
03:41,6,Lautaro,24.582
03:41,7,EURO2020,633.367
03:41,8,MasterChefBR,
03:41,9,THEMATCH,12.011
03:41,10,Lo Celso,
04:10,1,Giannis,88.471
04:10,2,MasterChefBR,14.715
04:10,3,Messi,281.114
04:10,4,Argentina,307.857
04:10,5,NBAFinals,46.322
04:10,6,七夕の願い事,124.088
04:10,7,Morata,469.103
04:10,8,Booker,30.228
04:10,9,NoLimite,
04:10,10,Lautaro,29.587
04:41,1,Messi,331.766
04:41,2,Giannis,100.447
04:41,3,Argentina,347.453
04:41,4,MasterChefBR,26.017
04:41,5,Lautaro,47.215
04:41,6,Fabra,17.370
04:41,7,Montiel,13.504
04:41,8,NoLimite,17.206
04:41,9,NBAFinals,51.392
04:41,10,七夕の願い事,132.541
05:10,1,Messi,393.601
05:10,2,Argentina,407.106
05:10,3,Martinez,90.442
05:10,4,MasterChefBR,34.659
05:10,5,Giannis,106.511
05:10,6,Montiel,16.303
05:10,7,Fabra,20.431
05:10,8,NoLimite,25.409
05:10,9,Luis Díaz,23.796
05:10,10,七夕の願い事,143.829
05:41,1,Argentina,709.858
05:41,2,Messi,542.581
05:41,3,Martinez,359.444
05:41,4,Cardona,30.715
05:41,5,MasterChefBR,43.066
05:41,6,Chris Paul,40.344
05:41,7,Giannis,117.762
05:41,8,Borja,28.829
05:41,9,Fabra,26.692
05:41,10,DilipKumar,26.836
06:10,1,Argentina,792.465
06:10,2,Messi,591.442
06:10,3,Martinez,431.435
06:10,4,Cardona,35.474
06:10,5,DilipKumar,39.728
06:10,6,Chris Paul,44.577
06:10,7,Borja,32.323
06:10,8,MasterChefBR,44.290
06:10,9,Giannis,119.932
06:10,10,七夕の願い事,172.155
06:41,1,Argentina,839.900
06:41,2,Messi,630.040
06:41,3,Dibu,459.819
06:41,4,DilipKumar,53.697
06:41,5,Cardona,42.843
06:41,6,七夕の願い事,182.091
06:41,7,Chris Paul,46.966
06:41,8,Borja,33.617
06:41,9,ロッキン中止,36.951
