hora,posicio,trend,volum
00:10,1,Neymar,275.313
00:10,2,Worlds2022,30.873
00:10,3,Bruna Marquezine,35.106
00:10,4,Stadia,62.221
00:10,5,BeyondFast,101.415
00:10,6,bbcqt,
00:10,7,RobsDay,101.592
00:10,8,舘様CM,
00:10,9,LoveIslandGR,10.022
00:10,10,Phillies,23.385
00:40,1,Neymar,322.400
00:40,2,Worlds2022,33.838
00:40,3,Bruna Marquezine,45.389
00:40,4,bbcqt,
00:40,5,Stadia,65.732
00:40,6,BeyondFast,104.841
00:40,7,舘様CM,
00:40,8,FanDuelisFANTASTIC,
00:40,9,RobsDay,114.030
00:40,10,Bengals,46.665
01:10,1,Neymar,363.440
01:10,2,Worlds2022,35.291
01:10,3,Bruna Marquezine,53.031
01:10,4,bbcqt,11.756
01:10,5,Stadia,68.929
01:10,6,BeyondFast,106.764
01:10,7,FanDuelisFANTASTIC,
01:10,8,舘様CM,
01:10,9,RobsDay,118.787
01:10,10,Bengals,49.083
01:40,1,Neymar,408.545
01:40,2,Worlds2022,37.784
01:40,3,Bruna Marquezine,61.357
01:40,4,bbcqt,13.228
01:40,5,Stadia,71.642
01:40,6,BeyondFast,109.776
01:40,7,FanDuelisFANTASTIC,
01:40,8,舘様CM,
01:40,9,RobsDay,125.676
01:40,10,Bengals,53.501
02:10,1,Neymar,443.623
02:10,2,Worlds2022,38.567
02:10,3,Bruna Marquezine,67.369
02:10,4,bbcqt,14.107
02:10,5,Stadia,73.989
02:10,6,BeyondFast,110.996
02:10,7,FanDuelisFANTASTIC,
02:10,8,舘様CM,
02:10,9,RobsDay,128.432
02:10,10,Bengals,59.538
02:40,1,Neymar,484.308
02:40,2,Worlds2022,40.249
02:40,3,Bruna Marquezine,73.577
02:40,4,bbcqt,14.714
02:40,5,Stadia,76.562
02:40,6,BeyondFast,113.274
02:40,7,FanDuelisFANTASTIC,
02:40,8,Bengals,73.270
02:40,9,舘様CM,
02:40,10,RobsDay,131.177
03:10,1,Neymar,520.093
03:10,2,Worlds2022,41.056
03:10,3,Bruna Marquezine,78.353
03:10,4,bbcqt,15.174
03:10,5,Stadia,78.997
03:10,6,BeyondFast,114.312
03:10,7,FanDuelisFANTASTIC,
