hora,posicio,trend,volum
00:01,1,قرض_عقار_2مليون_θ5З𐌚бlЗ97𐌚,
00:01,2,مخططات_اراضي_طريق_الدمام_رماح,
00:01,3,Sinner,38.000
00:01,4,$VVSDOG,
00:01,5,رفع_هشتاق_تررند1_05бЗ2б8б79,
00:01,6,Everton,32.000
00:01,7,Leeds,35.000
00:01,8,TheShinyBugCollection,
00:01,9,Zelensky,506.000
00:01,10,Uganda,42.000
00:31,1,Everton,45.000
00:31,2,LEEEVE,
00:31,3,Sinner,46.000
00:31,4,$VVSDOG,
00:31,5,Tarkowski,
00:31,6,سعود_القحطاني,
00:31,7,lufc,12.000
00:31,8,مخططات_اراضي_طريق_الدمام_رماح,
00:31,9,قرض_عقار_2مليون_θ5З𐌚бlЗ97𐌚,
00:31,10,Alcaraz,32.000
01:01,1,Everton,48.000
01:01,2,سعود_القحطاني,
01:01,3,IRIAMメンテ中のフォロー祭り,
01:01,4,LEEEVE,
01:01,5,バイクの日,
01:01,6,Sinner,49.000
01:01,7,LUFC,14.000
01:01,8,Dino,174.000
01:01,9,اليوم_العالمي_للمفاجات_السعيده,13.000
01:01,10,Tarkowski,
01:31,1,Everton,48.000
01:31,2,سعود_القحطاني,
01:31,3,IRIAMメンテ中のフォロー祭り,
01:31,4,LEEEVE,
01:31,5,バイクの日,
01:31,6,Sinner,49.000
01:31,7,LUFC,14.000
01:31,8,Dino,174.000
01:31,9,اليوم_العالمي_للمفاجات_السعيده,13.000
01:31,10,Tarkowski,
02:01,1,Everton,48.000
02:01,2,سعود_القحطاني,
02:01,3,IRIAMメンテ中のフォロー祭り,
02:01,4,LEEEVE,
02:01,5,バイクの日,
02:01,6,Sinner,49.000
02:01,7,LUFC,14.000
02:01,8,Dino,174.000
02:01,9,اليوم_العالمي_للمفاجات_السعيده,13.000
02:01,10,Tarkowski,
02:31,1,Everton,48.000
02:31,2,سعود_القحطاني,
02:31,3,IRIAMメンテ中のフォロー祭り,
02:31,4,LEEEVE,
02:31,5,バイクの日,
02:31,6,Sinner,49.000
02:31,7,LUFC,14.000
02:31,8,Dino,174.000
02:31,9,اليوم_العالمي_للمفاجات_السعيده,13.000
02:31,10,Tarkowski,
03:01,1,Everton,48.000
03:01,2,سعود_القحطاني,
03:01,3,IRIAMメンテ中のフォロー祭り,
03:01,4,LEEEVE,
03:01,5,バイクの日,
03:01,6,Sinner,49.000
03:01,7,LUFC,14.000
03:01,8,Dino,174.000
03:01,9,اليوم_العالمي_للمفاجات_السعيده,13.000
03:01,10,Tarkowski,
03:31,1,WWERaw,36.000
03:31,2,Bengals,27.000
03:31,3,山梨学院,
03:31,4,Cruzeiro,26.000
03:31,5,Mirassol,
03:31,6,IRIAMメンテ中のフォロー祭り,24.000
03:31,7,Joe Burrow,
03:31,8,京都国際,14.000
03:31,9,バイクの日,15.000
03:31,10,Raquel,13.000
04:01,1,WWERaw,36.000
04:01,2,Bengals,27.000
04:01,3,山梨学院,
04:01,4,Cruzeiro,26.000
04:01,5,Mirassol,
04:01,6,IRIAMメンテ中のフォロー祭り,24.000
04:01,7,Joe Burrow,
04:01,8,京都国際,14.000
04:01,9,バイクの日,15.000
04:01,10,Raquel,13.000
04:31,1,WWERaw,36.000
04:31,2,Bengals,27.000
04:31,3,山梨学院,
04:31,4,Cruzeiro,26.000
04:31,5,Mirassol,
04:31,6,IRIAMメンテ中のフォロー祭り,24.000
04:31,7,Joe Burrow,
04:31,8,京都国際,14.000
04:31,9,バイクの日,15.000
04:31,10,Raquel,13.000
05:01,1,WWERaw,36.000
05:01,2,Bengals,27.000
05:01,3,山梨学院,
05:01,4,Cruzeiro,26.000
05:01,5,Mirassol,
05:01,6,IRIAMメンテ中のフォロー祭り,24.000
05:01,7,Joe Burrow,
05:01,8,京都国際,14.000
05:01,9,バイクの日,15.000
05:01,10,Raquel,13.000
05:31,1,WWERaw,77.000
05:31,2,Naomi,51.000
05:31,3,اعلن1_هشتاقك__ترند_θ5θ3θ46347,
05:31,4,山梨学院,14.000
05:31,5,Bengals,32.000
05:31,6,Tinsley,
05:31,7,京都国際,19.000
05:31,8,ValeTudo,17.000
05:31,9,はま寿司の日本旨ねた味めぐり,
05:31,10,Big Jim,
06:01,1,WWERaw,77.000
06:01,2,Naomi,51.000
06:01,3,اعلن1_هشتاقك__ترند_θ5θ3θ46347,
06:01,4,山梨学院,14.000
06:01,5,Bengals,32.000
06:01,6,Tinsley,
06:01,7,京都国際,19.000
06:01,8,ValeTudo,17.000
06:01,9,はま寿司の日本旨ねた味めぐり,
06:01,10,Big Jim,
06:31,1,WWERaw,90.000
06:31,2,Naomi,63.000
