hora,posicio,trend,volum
00:01,1,النصر_التعاون,39.000
00:01,2,فبراير_الاسود,
00:01,3,جواو,12.000
00:01,4,تطبيق_LostContact,
00:01,5,الهلال_الرياض,60.000
00:01,6,SmackDown,36.000
00:01,7,كومان,
00:01,8,Ece Seçkin,
00:01,9,Mustafa Kemal Atatürk,20.000
00:01,10,Dayro Moreno,
00:31,1,هنيدي_مع_ابراق,
00:31,2,اعلن1_هشتاق_تررند_θ5θ3θ46347,
00:31,3,30AgustosZaferBayrami,40.000
00:31,4,النصر_التعاون,66.000
00:31,5,هشتاقك_اول_ترند_05б32б8б79,
00:31,6,海ちゃん,
00:31,7,元太くん,
00:31,8,Mustafa Kemal Atatürk,45.000
00:31,9,جواو,23.000
00:31,10,Dayro,
01:01,1,هنيدي_مع_ابراق,
01:01,2,اعلن1_هشتاق_تررند_θ5θ3θ46347,
01:01,3,30AgustosZaferBayrami,40.000
01:01,4,النصر_التعاون,66.000
01:01,5,هشتاقك_اول_ترند_05б32б8б79,
01:01,6,海ちゃん,
01:01,7,元太くん,
01:01,8,Mustafa Kemal Atatürk,45.000
01:01,9,جواو,23.000
01:01,10,Dayro,
01:31,1,هنيدي_مع_ابراق,
01:31,2,اعلن1_هشتاق_تررند_θ5θ3θ46347,
01:31,3,30AgustosZaferBayrami,40.000
01:31,4,النصر_التعاون,66.000
01:31,5,هشتاقك_اول_ترند_05б32б8б79,
01:31,6,海ちゃん,
01:31,7,元太くん,
01:31,8,Mustafa Kemal Atatürk,45.000
01:31,9,جواو,23.000
01:31,10,Dayro,
02:01,1,هنيدي_مع_ابراق,
02:01,2,اعلن1_هشتاق_تررند_θ5θ3θ46347,
02:01,3,30AgustosZaferBayrami,40.000
02:01,4,النصر_التعاون,66.000
02:01,5,هشتاقك_اول_ترند_05б32б8б79,
02:01,6,海ちゃん,
02:01,7,元太くん,
02:01,8,Mustafa Kemal Atatürk,45.000
02:01,9,جواو,23.000
02:01,10,Dayro,
02:31,1,海ちゃん,11.000
02:31,2,هنيدي_مع_ابراق,
02:31,3,باحسانكم_نقفل_حاله_معسر_مسن,
02:31,4,元太くん,
02:31,5,اعلن1_هشتاق_تررند_θ5θ3θ46347,
02:31,6,30AgustosZaferBayrami,45.000
02:31,7,النصر_التعاون,72.000
02:31,8,Tainá,
02:31,9,Mustafa Kemal Atatürk,50.000
02:31,10,Karoline,63.000
03:01,1,海ちゃん,11.000
03:01,2,هنيدي_مع_ابراق,
03:01,3,باحسانكم_نقفل_حاله_معسر_مسن,
03:01,4,元太くん,
03:01,5,اعلن1_هشتاق_تررند_θ5θ3θ46347,
03:01,6,30AgustosZaferBayrami,45.000
03:01,7,النصر_التعاون,72.000
03:01,8,Tainá,
03:01,9,Mustafa Kemal Atatürk,50.000
03:01,10,Karoline,63.000
03:31,1,土曜はナニする,
03:31,2,海ちゃん,13.000
03:31,3,木村にだまされた,
03:31,4,やす子福袋,
03:31,5,マックの月見バーガー,
03:31,6,元太くん,
03:31,7,Georgia Tech,
03:31,8,اعلن1_هشتاق_تررند_θ5θ3θ46347,
03:31,9,Auburn,11.000
03:31,10,Tolle,14.000
04:01,1,ValeTudo,24.000
04:01,2,土曜はナニする,
04:01,3,海ちゃん,15.000
04:01,4,Solange,
04:01,5,マックの月見バーガー,11.000
04:01,6,Baylor,10.000
04:01,7,やす子福袋,
04:01,8,木村にだまされた,
04:01,9,Auburn,13.000
04:01,10,元太くん,
04:31,1,ValeTudo,24.000
04:31,2,土曜はナニする,
04:31,3,海ちゃん,15.000
04:31,4,Solange,
04:31,5,マックの月見バーガー,11.000
04:31,6,Baylor,10.000
04:31,7,やす子福袋,
04:31,8,木村にだまされた,
04:31,9,Auburn,13.000
04:31,10,元太くん,
05:01,1,ValeTudo,24.000
05:01,2,土曜はナニする,
05:01,3,海ちゃん,15.000
05:01,4,Solange,
05:01,5,マックの月見バーガー,11.000
05:01,6,Baylor,10.000
05:01,7,やす子福袋,
05:01,8,木村にだまされた,
05:01,9,Auburn,13.000
05:01,10,元太くん,
05:31,1,ValeTudo,24.000
05:31,2,土曜はナニする,
05:31,3,海ちゃん,15.000
05:31,4,Solange,
05:31,5,マックの月見バーガー,11.000
05:31,6,Baylor,10.000
05:31,7,やす子福袋,
05:31,8,木村にだまされた,
05:31,9,Auburn,13.000
05:31,10,元太くん,
06:01,1,LYKNDuskAndDawnConcert,36.000
06:01,2,Baylor,12.000
06:01,3,Auburn,16.000
06:01,4,AdventOntheRun,
06:01,5,マックの月見バーガー,14.000
06:01,6,GFAWAKEConcertD1,22.000
06:01,7,海ちゃん,16.000
06:01,8,海人のアイドル日記,
06:01,9,Lobo Medina,
06:01,10,Colorado,37.000
06:31,1,LYKNDuskAndDawnConcert,36.000
06:31,2,Baylor,12.000
06:31,3,Auburn,16.000
06:31,4,AdventOntheRun,
06:31,5,マックの月見バーガー,14.000
06:31,6,GFAWAKEConcertD1,22.000
06:31,7,海ちゃん,16.000
06:31,8,海人のアイドル日記,
06:31,9,Lobo Medina,
06:31,10,Colorado,37.000
07:01,1,LYKNDuskAndDawnConcert,60.000
07:01,2,DOit_inBANGKOK,
07:01,3,グランマエストロ,
07:01,4,Haynes King,
07:01,5,Colorado,43.000
07:01,6,Baylor,16.000
07:01,7,Auburn,20.000
07:01,8,Salter,
07:01,9,Deion,
07:01,10,GFAWAKEConcertD1,52.000
07:31,1,LYKNDuskAndDawnConcert,60.000
07:31,2,DOit_inBANGKOK,
07:31,3,グランマエストロ,
07:31,4,Haynes King,
07:31,5,Colorado,43.000
07:31,6,Baylor,16.000
07:31,7,Auburn,20.000
07:31,8,Salter,
07:31,9,Deion,
07:31,10,GFAWAKEConcertD1,52.000
08:01,1,LYKNDuskAndDawnConcert,82.000
08:01,2,JANUAPRESENTER,60.000
08:01,3,MAGICMAN2inBKK,
08:01,4,DOit_inBANGKOK,
08:01,5,嵐movie,
08:01,6,グランマエストロ,
08:01,7,ライネリーベ,
08:01,8,Haynes King,
08:01,9,Colorado,44.000
08:01,10,Baylor,17.000
08:31,1,LYKNDuskAndDawnConcert,82.000
08:31,2,JANUAPRESENTER,60.000
08:31,3,MAGICMAN2inBKK,
08:31,4,DOit_inBANGKOK,
08:31,5,嵐movie,
08:31,6,グランマエストロ,
08:31,7,ライネリーベ,
08:31,8,Haynes King,
08:31,9,Colorado,44.000
08:31,10,Baylor,17.000
09:01,1,MAGICMAN2inBKK,
09:01,2,LYKNDuskAndDawnConcert,99.000
09:01,3,BUS_BB_INDIVIDUALPHOTO,95.000
09:01,4,JANUAPRESENTER,134.000
09:01,5,سداد_قروض__O55ЗЗ2б68З,
09:01,6,Mustafa Kemal Atatürk,72.000
09:01,7,RJ JANUA NEW PRESENTER,40.000
09:01,8,ミラージュナイト,
09:01,9,GEMINI FOURTH TO THE FUTURE,80.000
09:01,10,ENJOY WITH PIGGIE PINK TEAM,21.000
