Date,Title,Description,URL,Author
2023-03-01,"India’s GSPC comes back for more LNG, seeks April-May cargoes",India’s state-owned Gujarat State Petroleum Corp. has returned to the spot market with a tender to buy one cargo each for delivery to the 17.5 mtpa Dahej LNG receiving terminal in Gujarat second-half April and first-half May. The tender closes on Mar. 2.,https://terminal.kpler.com/insight/news/india-s-gspc-comes-back-for-more-lng-seeks-april-may-cargoes,CK
2023-03-01,British Mentor LNG tanker is poised to deliver Coral South’s first cargo to Asia,"The BP-controlled 173,400 m3 British Mentor LNG tanker is heading towards Singapore, carrying what is poised to be the first cargo to be delivered to Asia from the 3.4 mtpa Coral South floating LNG terminal in Mozambique.",https://terminal.kpler.com/insight/news/british-mentor-lng-tanker-is-poised-to-deliver-coral-south-s-first-cargo-to-asia,CK
2023-03-01,Excelerate agrees to buy 0.7 mtpa over 20 years from Venture Global’s Plaquemines project,Excelerate Energy has signed a 20-year agreement to buy 0.7 mtpa of LNG from US LNG producer Venture Global’s planned 20 mtpa Plaquemines LNG project in Louisiana.,https://terminal.kpler.com/insight/news/excelerate-agrees-to-buy-0-7-mtpa-over-20-years-from-venture-global-s-plaquemines-project,CK
