hora,posicio,trend,volum
00:01,1,Sanremo2025,392.000
00:01,2,Real Madrid,381.000
00:01,3,Ederson,30.000
00:01,4,السيتي,27.000
00:01,5,MCIRMA,26.000
00:01,6,مدريد,1.900.000
00:01,7,الريال,18.000
00:01,8,Vini,99.000
00:01,9,اعلانك_ترند_О5ち92О9593,
00:01,10,Manchester City,124.000
00:31,1,Sanremo2025,310.000
00:31,2,Ederson,13.000
00:31,3,Real Madrid,235.000
00:31,4,MCIRMA,19.000
00:31,5,السيتي,20.000
00:31,6,اعلانك_ترند_О5ち92О9593,
00:31,7,Mbappe,78.000
00:31,8,Jovanotti,17.000
00:31,9,مدريد,1.800.000
00:31,10,Mendy,30.000
01:01,1,Sanremo2025,460.000
01:01,2,Real Madrid,421.000
01:01,3,Ederson,32.000
01:01,4,السيتي,28.000
01:01,5,MCIRMA,27.000
01:01,6,مدريد,1.900.000
01:01,7,اعلانك_ترند_О5ち92О9593,
01:01,8,الريال,19.000
01:01,9,Vini,119.000
01:01,10,社内探偵,20.000
01:31,1,Sanremo2025,460.000
01:31,2,Real Madrid,421.000
01:31,3,Ederson,32.000
01:31,4,السيتي,28.000
01:31,5,MCIRMA,27.000
01:31,6,مدريد,1.900.000
01:31,7,اعلانك_ترند_О5ち92О9593,
01:31,8,الريال,19.000
01:31,9,Vini,119.000
01:31,10,社内探偵,20.000
02:01,1,Sanremo2025,460.000
02:01,2,Real Madrid,421.000
02:01,3,Ederson,32.000
02:01,4,السيتي,28.000
02:01,5,MCIRMA,27.000
02:01,6,مدريد,1.900.000
02:01,7,اعلانك_ترند_О5ち92О9593,
02:01,8,الريال,19.000
02:01,9,Vini,119.000
02:01,10,社内探偵,20.000
02:31,1,Sanremo2025,511.000
02:31,2,Real Madrid,440.000
02:31,3,Ederson,33.000
02:31,4,社内探偵,21.000
02:31,5,السيتي,28.000
02:31,6,مدريد,1.900.000
02:31,7,MCIRMA,28.000
02:31,8,الريال,19.000
02:31,9,Vini,128.000
02:31,10,Oval Office,77.000
03:01,1,Sanremo2025,523.000
03:01,2,Real Madrid,451.000
03:01,3,Ederson,33.000
03:01,4,Selva,46.000
03:01,5,Oval Office,90.000
03:01,6,社内探偵,22.000
03:01,7,Rocker,
03:01,8,السيتي,28.000
03:01,9,GHLímite6,28.000
03:01,10,MCIRMA,28.000
03:31,1,ااعلانك_ترند_هنا_ΘちΘ3Θ46347,
03:31,2,พาฝ้ายโยโกะคืนให้4E,211.000
03:31,3,SHINE ON FAYEYOKO TO 4E,217.000
03:31,4,Sanremo2025,526.000
03:31,5,Selva,53.000
03:31,6,Real Madrid,459.000
03:31,7,Oval Office,103.000
03:31,8,WWENXT,16.000
03:31,9,Maxey,
03:31,10,Kentucky,20.000
04:01,1,Sanremo2025,523.000
04:01,2,Real Madrid,451.000
04:01,3,Ederson,33.000
04:01,4,Selva,46.000
04:01,5,Oval Office,90.000
04:01,6,社内探偵,22.000
04:01,7,Rocker,
04:01,8,السيتي,28.000
04:01,9,GHLímite6,28.000
04:01,10,MCIRMA,28.000
04:31,1,ااعلانك_ترند_هنا_ΘちΘ3Θ46347,
04:31,2,พาฝ้ายโยโกะคืนให้4E,341.000
04:31,3,SHINE ON FAYEYOKO TO 4E,350.000
04:31,4,WWENXT,39.000
04:31,5,ELONGULF,
04:31,6,オートブロック,
04:31,7,Ricky Starks,15.000
04:31,8,Bulls,28.000
04:31,9,Gulf of Elon,
04:31,10,Pistons,
05:01,1,ااعلانك_ترند_هنا_ΘちΘ3Θ46347,
05:01,2,พาฝ้ายโยโกะคืนให้4E,341.000
05:01,3,SHINE ON FAYEYOKO TO 4E,350.000
05:01,4,WWENXT,39.000
05:01,5,ELONGULF,
05:01,6,オートブロック,
05:01,7,Ricky Starks,15.000
05:01,8,Bulls,28.000
05:01,9,Gulf of Elon,
05:01,10,Pistons,
05:31,1,ااعلانك_ترند_هنا_ΘちΘ3Θ46347,
05:31,2,พาฝ้ายโยโกะคืนให้4E,341.000
05:31,3,SHINE ON FAYEYOKO TO 4E,350.000
05:31,4,WWENXT,39.000
05:31,5,ELONGULF,
05:31,6,オートブロック,
05:31,7,Ricky Starks,15.000
05:31,8,Bulls,28.000
05:31,9,Gulf of Elon,
05:31,10,Pistons,
06:01,1,オートブロック,
06:01,2,ااعلانك_ترند_هنا_ΘちΘ3Θ46347,
06:01,3,十二国記,17.000
06:01,4,พาฝ้ายโยโกะคืนให้4E,423.000
06:01,5,SHINE ON FAYEYOKO TO 4E,431.000
06:01,6,WWENXT,47.000
06:01,7,ヱビスと荒木飛呂彦,
06:01,8,SaWWorldTour,26.000
06:01,9,アナイクス,
06:01,10,Ricky Starks,19.000
06:31,1,オートブロック,
06:31,2,ااعلانك_ترند_هنا_ΘちΘ3Θ46347,
06:31,3,十二国記,17.000
06:31,4,พาฝ้ายโยโกะคืนให้4E,423.000
06:31,5,SHINE ON FAYEYOKO TO 4E,431.000
06:31,6,WWENXT,47.000
06:31,7,ヱビスと荒木飛呂彦,
06:31,8,SaWWorldTour,26.000
06:31,9,アナイクス,
06:31,10,Ricky Starks,19.000
07:01,1,オートブロック,12.000
07:01,2,تزوج_بسهوله_مع_تطبيق_استقرار,
07:01,3,اعلانك_ترند_О5ち92О9ち93,
07:01,4,十二国記,24.000
07:01,5,アナイクス,22.000
07:01,6,ヱビスと荒木飛呂彦,14.000
07:01,7,พาฝ้ายโยโกะคืนให้4E,495.000
07:01,8,SaWWorldTour,42.000
07:01,9,SHINE ON FAYEYOKO TO 4E,505.000
07:01,10,SB19 AROUND THE WORLD,27.000
07:31,1,オートブロック,15.000
07:31,2,اعلانك_ترند_О5ち92О9ち93,
07:31,3,十二国記,28.000
07:31,4,$DBOLZ,
07:31,5,تزوج_بسهوله_مع_تطبيق_استقرار,
07:31,6,アナイクス,26.000
07:31,7,ヱビスと荒木飛呂彦,17.000
07:31,8,SaWWorldTour,52.000
07:31,9,SB19 AROUND THE WORLD,34.000
07:31,10,พาฝ้ายโยโกะคืนให้4E,553.000
08:01,1,オートブロック,15.000
08:01,2,اعلانك_ترند_О5ち92О9ち93,
08:01,3,十二国記,28.000
08:01,4,$DBOLZ,
08:01,5,تزوج_بسهوله_مع_تطبيق_استقرار,
08:01,6,アナイクス,26.000
08:01,7,ヱビスと荒木飛呂彦,17.000
08:01,8,SaWWorldTour,52.000
08:01,9,SB19 AROUND THE WORLD,34.000
08:01,10,พาฝ้ายโยโกะคืนให้4E,553.000
08:31,1,النفسيه__محتاجه_قهووه,
08:31,2,オートブロック,16.000
08:31,3,十二国記,32.000
08:31,4,$DBOLZ,
08:31,5,アナイクス,30.000
08:31,6,اعلانك_ترند_О5ち92О9ち93,
08:31,7,SaWWorldTour,61.000
08:31,8,ヱビスと荒木飛呂彦,19.000
08:31,9,تزوج_بسهوله_مع_تطبيق_استقرار,
08:31,10,SB19 AROUND THE WORLD,42.000
09:01,1,النفسيه__محتاجه_قهووه,
09:01,2,オートブロック,18.000
09:01,3,十二国記,35.000
09:01,4,اعلانك_ترند_О5ち92О9ち93,
09:01,5,アナイクス,33.000
09:01,6,KademeHemenMeclise,
09:01,7,SaWWorldTour,70.000
09:01,8,SB19 AROUND THE WORLD,49.000
09:01,9,ヱビスと荒木飛呂彦,21.000
09:01,10,$DBOLZ,
