Date,Title,Description,URL,Author
2023-01-30,Traders would turn to OTC market if EU TTF price cap is triggered,"European traders surveyed by Kpler said that Dutch natural gas TTF futures are very unlikely to reach the EU price cap which enters into force on Feb. 15, but that if they did, traders would cover their positions via the over-the-counter (OTC) market where the price cap does not apply before they would start trading on UK-based exchanges where the price cap also does not apply.",https://terminal.kpler.com/insight/news/traders-would-turn-to-otc-market-if-eu-ttf-price-cap-was-triggered-traders-1,DE
2023-01-30,LNG deliveries at Germany’s terminals delayed,Germany was set to receive three cargos last week but these have been delayed to later this week as two of the LNG carriers are waiting outside the terminals and the third one is still on its way. Germany has fast-tracked three floating terminals this winter as it turns to LNG to help replace most of the lost Russian pipeline supplies.,https://terminal.kpler.com/insight/news/lng-deliveries-at-germany-s-terminals-delayed,DE
2023-01-30,Eemshaven LNG terminal to operate at a third of its capacity until March,The Netherlands’ Eemshaven is set to restart operations at about a third of its capacity on Feb. 6 until Mar. 1. Two cargos are expected at the terminal by mid-February. A heat connection failure forced the terminal to go into unplanned maintenance over two weeks ago.,https://terminal.kpler.com/insight/news/eemshaven-lng-terminal-to-operate-at-a-third-of-its-capacity-until-march,DE
