Date,Title,Description,URL,Author
2022-04-27,Pakistan LNG issues tender to buy one second-half May LNG cargo,State-owned Pakistan LNG (PLL) has issued a tender to buy one cargo for delivery on May 17-18 to the Pakistan GasPort LNG import terminal in Port Qasim. The tender closes on Apr. 29.,https://terminal.kpler.com/insight/news/pakistan-lng-issues-tender-to-buy-one-second-half-may-lng-cargo,CK
2022-04-27,"Concerns over further halts to Russian gas exports may fuel Asian LNG purchases, but not immediately","Russia’s state-owned Gazprom’s moves to halt gas exports to Poland and Bulgaria from today have created fears among Asia’s LNG importers that Russia may also halt gas supplies to its other European buyers, leading to competition for LNG cargoes and even higher LNG prices.",https://terminal.kpler.com/insight/news/concerns-over-further-halts-to-russia-gas-exports-seen-fueling-asian-lng-purchases-but-not-immediately,CK
2022-04-27,Japan’s end-April LNG stock levels climb to 14-week high,LNG stocks held by Japan’s power utilities at the end of April rose to their highest levels since mid-January as warmer weather in the weeks since the end of winter likely led to a reduction in LNG consumption.,https://terminal.kpler.com/insight/news/japan-s-end-april-lng-stock-levels-climb-to-14-week-high,CK
2022-04-27,"Gazprom to stop gas exports to Poland, Bulgaria","Russia’s state-owned energy firm Gazprom has told Poland and Bulgaria it will stop flows of Russian gas to both countries from today, making it the first time that Russia will stop gas flows to its European buyers since its invasion of Ukraine on Feb. 24.",https://terminal.kpler.com/insight/news/gazprom-to-stop-gas-exports-to-poland-bulgaria,CK
