Date,Title,Description,URL,Author
2024-11-13,Slovakia’s SPP signs “pilot” gas supply deal with Socar in preparation for likely end of Ukraine gas transit deal,"Slovakia’s state-owned energy supplier SPP has concluded a short-term pilot contract for the purchase of natural gas with Azerbaijan’s SOCAR, with a longer-term gas supply contract a possibility.",https://terminal.kpler.com/insight/news/slovakia-s-spp-signs-pilot-gas-supply-deal-with-socar-in-preparation-for-likely-end-of-ukraine-gas-transit-deal,JS
2024-11-13,Egyptian government awards natural gas exploration licenses in effort to plug supply gap,Egypt’s Ministry of Petroleum and Mineral Resources has awarded four energy companies with one exploration block each under the country’s 2024 oil and gas exploration round to help fill the looming domestic gas supply gap.,https://terminal.kpler.com/insight/news/egyptian-government-awards-natural-gas-exploration-licenses-to-4-companies,JS
2024-11-13,"Tangguh LNG Train 3 restarts after trip, cargo loadings set to resume","LNG cargo loadings at the BP-operated 11.4 mtpa Tangguh LNG plant in Indonesia’s West Papua province are expected to resume later this week, following the restart of the plant’s third train after a trip last week.",https://terminal.kpler.com/insight/news/tangguh-lng-train-3-restarts-after-trip-cargo-loadings-set-to-resume,CK
2024-11-13,Vasant 1 FSRU returns to Turkey’s Saros LNG to restart operations after nearly eight months offline,"The 180,000 m3 Vasant 1 floating storage regasification unit has returned to the Botas-operated Saros LNG receiving terminal in Turkey where it is preparing to restart import operations through a ship-to-ship LNG transfer with the Energy Endeavour LNG tanker after a hiatus of almost eight months.",https://terminal.kpler.com/insight/news/vasant-1-fsru-returns-to-turkey-s-saros-lng-to-restart-operations-after-nearly-eight-months-offline,CK
2024-11-13,"Bahia LNG reloads first partial cargo this year, signalling weak gas demand in Brazil","The Petrobras-operated 5.6 mtpa Bahia floating storage regasification unit-based LNG receiving terminal in Brazil recently reloaded a partial LNG cargo after receiving a partial cargo a few weeks earlier, underscoring weak demand in the country amid Brazil’s rainy season and marking the first reload for the Excelerate Sequoia FSRU since its installation in January.",https://terminal.kpler.com/insight/news/bahia-lng-reloads-first-partial-cargo-signalling-weak-gas-demand-in-brazil,CK
