Date,Title,Description,URL,Author
2023-12-11,Transgas Force FSRU to serve as LNG tanker before deployment at Stade in February,"The 174,000 m3 Transgas Force floating storage and regasification unitwill serve as an LNG tanker for the next two months following its arrival in Rotterdam on Dec. 9 to carry out cooldown operations.",https://terminal.kpler.com/insight/news/transgas-power-fsru-to-serve-as-lng-tanker-before-deployment-at-stade-in-february,JS
2023-12-11,"Serbia-Bulgaria gas interconnector starts up, seen boosting regional gas supplies","Serbia, Bulgaria and Azerbaijan have inaugurated a 1.8 billion m3 a year cross-border natural gas interconnector, which will provide an alternative supply route to Serbia, and beyond, from Azerbaijan via Bulgaria, further diversifying the region’s supply away from Russia.",https://terminal.kpler.com/insight/news/serbia-bulgaria-gas-interconnector-starts-up-seen-boosting-regional-gas-supplies,JS
2023-12-11,"PTT seeks up to three Jan-Feb LNG cargoes, Oman LNG offers two cargoes for January",Thailand’s state-owned PTT has issued a tender to buy up to three LNG cargoes for delivery in January and February to the Map Ta Phut LNG receiving terminal through a tender closing tomorrow.,https://terminal.kpler.com/insight/news/ptt-seeks-up-to-three-jan-feb-lng-cargoes-oman-lng-offers-two-cargoes-for-january,CK
