Date,Title,Description,URL,Author
2023-12-07,"Inpex seeks FERC’s timely approval of CP2 LNG, citing Japan’s energy security needs","Japanese upstream firm Inpex is seeking the US Federal Energy Regulatory Commission’s timely approval of the proposed 20 mtpa CP 2 LNG project in Louisiana in the hope that construction can begin early next year, citing the project’s importance for Japan’s energy security.",https://terminal.kpler.com/insight/news/inpex-seeks-ferc-s-timely-approval-of-cp-2-lng-citing-japan-s-energy-security-needs,CK
2023-12-07,"NNPC, Wison sign initial deal to develop a floating LNG project",Nigeria’s gas and oil producer NNPC has signed a memorandum of understanding with Chinese shipbuilder Wison Heavy Industry to develop a floating LNG export project.,https://terminal.kpler.com/insight/news/nnpc-wison-sign-initial-deal-to-develop-a-floating-lng-project,JS
2023-12-07,"Woodside, Santos confirm potential merger discussions are ongoing",Australian independent oil and gas producers Woodside Energy and Santos confirmed that they are in discussions with each other regarding a potential merger.,https://terminal.kpler.com/insight/news/woodside-santos-confirm-potential-merger-discussions-are-ongoing,CK
2023-12-07,Prelude FLNG continues to work through its extended major turnaround,The Shell-operated 3.6 mtpa Prelude floating LNG facility offshore Broome in Western Australia remains offline as work continues on the facility following an extension to its first major turnaround that started towards the end of August.,https://terminal.kpler.com/insight/news/prelude-flng-continues-to-work-through-its-extended-major-turnaround,CK
2023-12-07,"ExxonMobil sees Golden Pass mechanically complete in end-2024, signalling start-up delay","ExxonMobil expects to achieve mechanical completion of the planned 18.1 mtpa Golden Pass LNG project at the end of 2024, signalling a delay in the start of the Texas-based project that it is jointly developing with QatarEnergy.",https://terminal.kpler.com/insight/news/exxon-mobil-sees-golden-pass-mechanically-complete-in-end-2024-signalling-start-up-delay,CK
