Date,Title,Description,URL,Author
2025-09-09,Hungary’s MVM signs 10-year gas supply deal with Shell,"Hungary’s state-owned gas firm MVM has signed a 10-year contract with Shell to import 2 billion m3 of gas annually starting in 2026, in what Foreign Minister Peter Szijjarto described as the country’s longest and largest-ever supply deal with a Western partner.",https://terminal.kpler.com/insight/news/hungary-s-mvm-signs-10-year-gas-supply-deal-with-shell,CK
2025-09-09,NextDecade takes FID on Train 4 of Rio Grande LNG project,"NextDecade has made a positive final investment decision (FID) on Train 4 of Rio Grande LNG, closed financial transactions to fully fund Train 4 and related infrastructure, and issued a full notice to proceed to Bechtel Energy.",https://terminal.kpler.com/insight/news/next-decade-takes-fid-on-train-4-of-rio-grande-lng-project,JS
2025-09-09,EU legal proposal to eliminate Russian gas aimed to be adopted by year-end,"The European Union has put forward a legal proposal to remove Russian gas from its energy system, with adoption targeted by the end of this year, EU Director General for Energy Ditte Jorgensen said at the GasTech conference on Monday in Milan.",https://terminal.kpler.com/insight/news/eu-legal-proposal-to-eliminate-russian-gas-aimed-to-be-adopted-by-year-end,CK
2025-09-09,TotalEnergies to supply 1 mtpa of LNG to Kogas for 10 years,France’s TotalEnergies has signed a heads of agreement (HoA) with South Korea’s Kogas for the supply of 1 mtpa of LNG over 10 years starting from the end of 2027.,https://terminal.kpler.com/insight/news/total-energies-to-supply-1-mtpa-of-lng-to-kogas-for-10-years,JS
2025-09-09,TotalEnergies' Pouyanne signals imminent move on Mozambique LNG restart,"TotalEnergies Chief Executive Patrick Pouyanne said he expects the company to move “very soon” on the long-delayed 13 mtpa Mozambique LNG project in Afungi, Cabo Delgado.",https://terminal.kpler.com/insight/news/total-energies-pouyanne-signals-imminent-move-on-mozambique-lng-restart,CK
2025-09-09,"NNPC targets Train 7 LNG start-up next year, eyes expansion to Train 8",Nigeria’s state oil company NNPC is preparing to bring its seventh train LNG expansion project online next year while laying the groundwork for further growth.,https://terminal.kpler.com/insight/news/nnpc-targets-train-7-lng-start-up-next-year-eyes-expansion-to-train-8,JS
2025-09-09,Developing Alaska positions US to unlock broader LNG exports to Europe and Asia,"The US is positioning Alaska’s LNG resources to serve Asia, which in turn frees up supplies from other US terminals for Europe, as part of a broader strategy to expand American LNG exports, Secretary of the Interior Doug Burgum said at the Gastech conference in Milan today.",https://terminal.kpler.com/insight/news/us-sees-alaska-lng-as-supply-source-for-europe-not-just-asia,CK
2025-09-09,Hungary signs record Shell LNG deal but says Russian gas still unavoidable,"Hungary remains unable to walk away from Russian gas even as the European Union pushes to phase out such imports in the next two years and the country signs its largest LNG deal, Foreign Affairs and Trade Minister Peter Szijjarto said at the Gastech conference in Milan today.",https://terminal.kpler.com/insight/news/hungary-signs-record-shell-lng-deal-but-says-russian-gas-still-unavoidable,CK
2025-09-09,"EU energy chief urges cooperation, says Europe remains reliable market","Europe is “open for business” and seeking stronger energy partnerships, Ditte Juul Jorgensen, Director-General for Energy at the European Commission, told delegates at Gastech in Milan.",https://terminal.kpler.com/insight/news/eu-energy-chief-urges-cooperation-says-europe-remains-reliable-market,JS
2025-09-09,"Commonwealth LNG signs 1 mtpa offtake deal with EQT,  progresses toward FID this year","Commonwealth LNG has agreed to supply US natural gas producer EQT Corp. with 1 mtpa of LNG from its proposed 9.5 mtpa export project in Cameron Parish, Louisiana, further advancing the project toward a final investment decision targeted for this year.",https://terminal.kpler.com/insight/news/commonwealth-lng-signs-1-mtpa-offtake-deal-with-eqt-progresses-toward-fid-this-year,CK
2025-09-09,NextDecade advances towards Rio Grande LNG Train 5 FID with ConocoPhillips offtake deal,"US LNG developer NextDecade has signed a 20-year agreement to supply ConocoPhillips with 1 mtpa of LNG from the proposed fifth train at its 27 mtpa Rio Grande LNG project in Brownsville, Texas, completing commercialisation of the train and paving the way for a final investment decision at the end of the year.",https://terminal.kpler.com/insight/news/next-decade-advances-towards-rio-grande-lng-train-5-fid-with-conoco-phillips-offtake-deal,CK
