hora,posicio,trend,volum
00:01,1,$BUBBLE,5.760.000
00:01,2,$PARAM,2.740.000
00:01,3,Beyoncé,1.299.999
00:01,4,Jesus,1.020.000
00:01,5,Jesús,993.000
00:01,6,Gmgm,628.000
00:01,7,Easter,583.000
00:01,8,COWBOYCARTER,571.000
00:01,9,Apple,481.000
00:01,10,Good Friday,469.000
00:31,1,$BUBBLE,3.940.000
00:31,2,$PARAM,3.040.000
00:31,3,Beyoncé,1.299.999
00:31,4,Jesús,1.020.000
00:31,5,Jesus,992.000
00:31,6,Gmgm,628.000
00:31,7,Easter,583.000
00:31,8,COWBOYCARTER,571.000
00:31,9,Apple,499.000
00:31,10,Good Friday,469.000
01:01,1,$PARAM,3.219.999
01:01,2,$BUBBLE,3.019.999
01:01,3,Beyoncé,1.339.999
01:01,4,Jesus,1.060.000
01:01,5,Jesús,1.020.000
01:01,6,Gmgm,628.000
01:01,7,Easter,591.000
01:01,8,COWBOYCARTER,577.000
01:01,9,Apple,508.000
01:01,10,Good Friday,479.000
01:31,1,$PARAM,3.480.000
01:31,2,$BUBBLE,2.960.000
01:31,3,Beyonce,1.339.999
01:31,4,Beyoncé,1.299.999
01:31,5,Jesús,1.060.000
01:31,6,Jesus,992.000
01:31,7,Gmgm,628.000
01:31,8,Easter,591.000
01:31,9,COWBOYCARTER,577.000
01:31,10,Apple,508.000
02:01,1,$PARAM,3.599.999
02:01,2,$BUBBLE,2.960.000
02:01,3,Beyoncé,1.380.000
02:01,4,Beyonce,1.259.999
02:01,5,Jesus,1.100.000
02:01,6,Jesús,1.060.000
02:01,7,Easter,598.000
02:01,8,COWBOYCARTER,582.000
02:01,9,Apple,510.000
02:01,10,Good Friday,488.000
02:31,1,$PARAM,3.800.000
02:31,2,$BUBBLE,2.960.000
02:31,3,Beyonce,1.400.000
02:31,4,Beyoncé,1.380.000
02:31,5,Jesús,1.100.000
02:31,6,Jesus,1.040.000
02:31,7,Easter,598.000
02:31,8,COWBOYCARTER,582.000
02:31,9,Apple,510.000
02:31,10,Good Friday,490.000
03:01,1,$PARAM,3.800.000
03:01,2,$BUBBLE,2.960.000
03:01,3,Beyoncé,1.420.000
03:01,4,Beyonce,1.400.000
03:01,5,Jesús,1.100.000
03:01,6,Jesus,1.080.000
03:01,7,Easter,605.000
03:01,8,COWBOYCARTER,588.000
03:01,9,Apple,510.000
03:01,10,Good Friday,496.000
03:31,1,$PARAM,3.800.000
03:31,2,$BUBBLE,2.440.000
03:31,3,Beyoncé,1.420.000
03:31,4,Beyonce,1.400.000
03:31,5,Jesús,1.100.000
03:31,6,Jesus,1.000.000
03:31,7,Easter,605.000
03:31,8,COWBOYCARTER,588.000
03:31,9,Apple,510.000
03:31,10,Good Friday,496.000
04:01,1,$PARAM,3.800.000
04:01,2,$BUBBLE,2.920.000
04:01,3,Beyonce,1.440.000
04:01,4,Beyoncé,1.420.000
04:01,5,Israel,1.319.999
04:01,6,Jesús,1.080.000
04:01,7,Jesus,976.000
04:01,8,Easter,614.000
04:01,9,COWBOYCARTER,588.000
04:01,10,Good Friday,500.000
04:31,1,$PARAM,3.800.000
04:31,2,$BUBBLE,2.920.000
04:31,3,Beyonce,1.440.000
04:31,4,Beyoncé,1.420.000
04:31,5,Israel,1.359.999
04:31,6,Jesús,1.080.000
04:31,7,Jesus,976.000
04:31,8,Easter,614.000
04:31,9,COWBOYCARTER,588.000
04:31,10,Good Friday,500.000
05:01,1,$PARAM,3.800.000
05:01,2,$BUBBLE,3.040.000
05:01,3,Beyonce,1.440.000
05:01,4,Beyoncé,1.400.000
05:01,5,Israel,1.359.999
05:01,6,Jesús,996.000
05:01,7,Jesus,976.000
05:01,8,Easter,622.000
05:01,9,COWBOYCARTER,584.000
05:01,10,Good Friday,501.000
05:31,1,$PARAM,3.800.000
05:31,2,$BUBBLE,3.360.000
05:31,3,Beyonce,1.440.000
05:31,4,Beyoncé,1.380.000
05:31,5,Israel,1.359.999
05:31,6,Jesús,996.000
05:31,7,Jesus,969.000
05:31,8,Easter,622.000
05:31,9,COWBOYCARTER,584.000
05:31,10,Good Friday,501.000
06:01,1,$PARAM,3.800.000
06:01,2,$BUBBLE,3.360.000
06:01,3,Beyoncé,1.380.000
06:01,4,Beyonce,1.359.999
06:01,5,Israel,1.339.999
06:01,6,Jesús,973.000
06:01,7,Jesus,958.000
06:01,8,Easter,626.000
06:01,9,COWBOYCARTER,546.000
06:01,10,Beta,521.000
06:31,1,$PARAM,5.600.000
06:31,2,$BUBBLE,4.099.999
06:31,3,Beyoncé,1.380.000
06:31,4,Israel,1.339.999
06:31,5,Beyonce,1.200.000
06:31,6,Jesús,973.000
06:31,7,Jesus,958.000
06:31,8,Easter,626.000
06:31,9,COWBOYCARTER,546.000
06:31,10,Beta,521.000
07:01,1,$PARAM,6.779.999
07:01,2,$BUBBLE,5.000.000
07:01,3,Beyonce,1.200.000
07:01,4,Beyoncé,1.180.000
07:01,5,Jesus,958.000
07:01,6,Jesús,944.000
07:01,7,Easter,627.000
07:01,8,Beta,522.000
07:01,9,Good Friday,498.000
07:01,10,محمد,482.000
07:31,1,$PARAM,8.460.000
07:31,2,$BUBBLE,6.420.000
07:31,3,Beyonce,1.200.000
07:31,4,Beyoncé,1.040.000
07:31,5,Jesus,958.000
07:31,6,Jesús,934.000
07:31,7,Easter,627.000
07:31,8,Beta,522.000
07:31,9,Good Friday,498.000
07:31,10,محمد,482.000
08:01,1,$PARAM,8.460.000
08:01,2,$BUBBLE,6.560.000
08:01,3,Beyoncé,1.040.000
08:01,4,Beyonce,999.000
08:01,5,Jesus,946.000
08:01,6,Jesús,934.000
08:01,7,Easter,627.000
08:01,8,Beta,522.000
08:01,9,มนต์รักลูกทุ่ง2567EP10,500.000
08:01,10,Good Friday,493.000
08:31,1,$PARAM,8.840.000
08:31,2,$BUBBLE,6.560.000
08:31,3,Beyoncé,1.040.000
08:31,4,Beyonce,999.000
08:31,5,Jesus,946.000
08:31,6,Jesús,935.000
08:31,7,Easter,627.000
08:31,8,Beta,520.000
08:31,9,มนต์รักลูกทุ่ง2567EP10,500.000
08:31,10,Good Friday,493.000
09:01,1,$PARAM,8.840.000
09:01,2,$BUBBLE,6.619.999
09:01,3,Beyoncé,985.000
09:01,4,Beyonce,977.000
09:01,5,Jesús,935.000
09:01,6,Jesus,925.000
09:01,7,Easter,627.000
09:01,8,Beta,520.000
09:01,9,มนต์รักลูกทุ่ง2567EP10,500.000
09:01,10,ACTRESS CHARLOTTE EP10,484.000
09:31,1,$PARAM,8.840.000
