date,trend,tweet_count
12-09-2025,最大1万円分,57592.0
12-09-2025,参加回数,
12-09-2025,Lattimore,
12-09-2025,Matheus França,
12-09-2025,Coutinho,
12-09-2025,Jordan Love,12456.0
12-09-2025,当選確率,193207.0
12-09-2025,THE AIR Q13 SHOOTING,116387.0
12-09-2025,LIL FANTASY SHOOT OUT NOW,
12-09-2025,夜勤事件,25400.0
12-09-2025,Neto,22043.0
12-09-2025,Washington,115646.0
12-09-2025,カラモバ,
12-09-2025,ゲーミング紅葉,
12-09-2025,物販入場予約抽選,
12-09-2025,イベント開催予定,12371.0
12-09-2025,ドンタコス,
12-09-2025,Swasthya Jeevan,13767.0
12-09-2025,Adhyatmik Vikas,14326.0
12-09-2025,Deebo,
12-09-2025,Vegetti,
12-09-2025,宇宙の日,19254.0
12-09-2025,Nixon,
12-09-2025,Copa do Brasil,41118.0
12-09-2025,ブルーインパルス,
12-09-2025,O Vasco,33006.0
12-09-2025,Matt Gay,
12-09-2025,堕天使新規,
12-09-2025,グリーンアップル大使,
12-09-2025,じゃらすじーさん,
12-09-2025,Packers,72124.0
12-09-2025,Cruzeiro,65692.0
12-09-2025,#スターレイル予告番組,
12-09-2025,Diniz,
12-09-2025,Coutinho,
12-09-2025,Botafogo,20945.0
12-09-2025,Jordan Love,10100.0
12-09-2025,Matheus França,
12-09-2025,Green Bay,20788.0
12-09-2025,#LaVozArgentina,16033.0
12-09-2025,#GoPackGo,10294.0
12-09-2025,Vegetti,
12-09-2025,#เสน่หาวาโยคิว13,69218.0
12-09-2025,THE AIR Q13 SHOOTING,70023.0
12-09-2025,Jayden Daniels,
12-09-2025,Commanders,54362.0
12-09-2025,Léo Jardim,
12-09-2025,#DragRaceBR,
12-09-2025,Matt Gay,
12-09-2025,Lattimore,
12-09-2025,Tucker Kraft,
12-09-2025,Washington,112739.0
12-09-2025,Mets,28924.0
12-09-2025,夜勤事件,18676.0
12-09-2025,Kaio Jorge,18554.0
12-09-2025,Peirano,
12-09-2025,Dan Quinn,
12-09-2025,Lyanco,
12-09-2025,Arana,
12-09-2025,宇宙の日,16299.0
12-09-2025,Al Michaels,
12-09-2025,GRANDE DIA,228264.0
12-09-2025,Artur,
12-09-2025,Robert Renan,
12-09-2025,AREA OF MEENPING,19814.0
12-09-2025,ファミマオンライン,
12-09-2025,カラモバ,
12-09-2025,BOLSONARO CONDENADO,493348.0
12-09-2025,じゃらすじーさん,
12-09-2025,Sampaoli,
12-09-2025,ドンタコス,
12-09-2025,Noah Brown,
12-09-2025,横山万博のグッズ,
12-09-2025,WESLEY 200K MILESTONE,
12-09-2025,Kliff,
12-09-2025,Trey Amos,
12-09-2025,NINESTAR FALLS,
12-09-2025,Atlético,34358.0
12-09-2025,MINAMAHAL ADelante SA USJR,
12-09-2025,O Vasco,16390.0
12-09-2025,Cruzeiro,48209.0
12-09-2025,Packers,50880.0
12-09-2025,Jordan Love,
12-09-2025,Kaio Jorge,13455.0
12-09-2025,Arana,
12-09-2025,#GoPackGo,
12-09-2025,GRANDE DIA,213527.0
12-09-2025,Coutinho,
12-09-2025,夜勤事件,13411.0
12-09-2025,#صدقه_الجمعه_معسر_مسن_احسان,
12-09-2025,BOLSONARO CONDENADO,452384.0
12-09-2025,Botafogo,16400.0
12-09-2025,#SNKRS,
12-09-2025,Jayden Reed,
12-09-2025,#サーティワン新作シェイク,
12-09-2025,Lyanco,
12-09-2025,Green Bay,14769.0
12-09-2025,宇宙の日,13959.0
12-09-2025,Lattimore,
12-09-2025,Sampaoli,
12-09-2025,Trey Amos,
12-09-2025,Atlético,29091.0
12-09-2025,#TNFonPrime,
12-09-2025,Tucker Kraft,
12-09-2025,Jair Bolsonaro,290493.0
12-09-2025,日本郵便公表,
12-09-2025,Commanders,41851.0
12-09-2025,NUNO MOREIRA,
12-09-2025,ナムさん,
12-09-2025,ミラージュフレーム,
12-09-2025,SUPREMA PERSEGUIÇÃO,192118.0
12-09-2025,Hulk,14879.0
12-09-2025,Noah Brown,
12-09-2025,Romeo Doubs,
12-09-2025,QUEREM MATAR BOLSONARO,161406.0
12-09-2025,Neto,19200.0
12-09-2025,Igor Gomes,
12-09-2025,Aaron Judge,
12-09-2025,Washington,106569.0
12-09-2025,Glorilla,
12-09-2025,Al Michaels,
12-09-2025,Harrison Bader,
12-09-2025,Rony,
12-09-2025,セカンドイシュー,
12-09-2025,アンパンマン,13262.0
12-09-2025,Wake Forest,
12-09-2025,総裁選出馬の意向,12945.0
12-09-2025,専業子供,
12-09-2025,ケイくん,
12-09-2025,エンティーム,
11-09-2025,GRANDE DIA,190606.0
11-09-2025,BOLSONARO CONDENADO,392805.0
